,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/02/23,2022,0.15,cash
1,30/06/22,2022,0.1,share
2,26/05/22,2021,0.25,cash
3,25/03/22,2021,0.15,cash
4,15/06/21,2021,0.1,share
5,27/05/21,2020,0.35,cash
6,25/12/20,2020,0.15,cash
7,24/07/20,2020,0.1,share
8,29/06/20,2019,0.1,cash
9,24/04/20,2019,0.1,cash
10,28/05/19,2019,0.1,share
11,17/05/19,2018,0.202,cash
12,02/04/19,2018,0.1,cash
13,11/06/18,2018,0.15,share
14,17/05/18,2017,0.27,cash
15,23/05/17,2016,0.151,cash
16,23/05/17,2016,0.151,cash
17,27/12/16,2016,0.2,cash
18,27/04/16,2015,0.412,cash
19,14/01/16,2015,0.25,cash
