,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,11/07/22,2021,0.1,cash
1,11/08/21,2020,0.36,cash
2,05/12/18,2017,0.02,cash
3,21/09/17,2017,0.1,cash
4,27/04/17,2016,0.06,cash
5,25/08/16,2016,0.06,cash
6,16/03/16,2015,0.12,cash
7,22/06/15,2014,0.12,cash
8,27/08/14,2013,0.06,cash
9,13/11/13,2013,0.06,cash
10,13/11/13,2012,0.12,cash
11,12/04/12,2011,0.12,cash
12,05/05/11,2010,0.1,cash
13,15/04/10,2009,0.1,cash
14,17/08/09,2009,0.06,cash
15,26/02/09,2008,0.1,cash
16,16/04/08,2007,0.08,cash
17,12/12/07,2007,0.06,share
18,18/04/07,2007,0.12,share
19,28/08/06,2006,0.05,cash
