,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,03/08/22,2021,0.07,cash
1,28/10/21,2020,0.07,cash
2,26/08/20,2019,0.1,cash
3,06/12/19,2019,0.08,cash
4,13/09/19,2018,0.05,cash
5,07/09/18,2017,0.07,cash
6,07/09/18,2018,0.1,cash
7,14/08/17,2016,0.1,cash
8,14/08/17,2017,0.08,cash
9,30/05/16,2015,0.09,cash
10,30/05/16,2016,0.08,cash
11,27/08/15,2015,0.08,cash
12,19/05/15,2014,0.07,cash
13,08/12/14,2014,0.08,cash
14,06/08/14,2014,0.1,cash
15,06/05/14,2013,0.1,cash
16,12/11/13,2013,0.1,cash
17,30/07/13,2013,0.1,cash
18,18/04/13,2012,0.08,cash
19,14/01/13,2012,0.08,cash
