,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,25/08/22,2021,0.12,cash
1,13/01/22,2021,0.12,cash
2,18/06/21,2020,0.12,cash
3,17/11/20,2020,0.12,cash
4,17/08/20,2019,0.12,cash
5,15/11/19,2019,0.12,cash
6,29/05/19,2018,0.12,cash
7,08/11/18,2018,0.12,cash
8,18/06/18,2017,0.12,cash
9,21/09/17,2017,0.12,cash
10,21/06/17,2016,0.12,cash
11,07/10/16,2016,0.12,cash
12,13/06/16,2015,0.12,cash
13,05/11/15,2015,0.12,cash
14,08/06/15,2014,0.12,cash
15,06/11/14,2014,0.12,cash
16,21/05/14,2013,0.12,cash
17,15/11/13,2013,0.12,cash
18,28/05/13,2012,0.12,cash
19,11/01/13,2012,0.12,cash
