,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,31/01/23,2022,0.1,cash
1,24/06/22,2021,0.15,cash
2,23/07/21,2020,0.1,cash
3,06/11/20,2020,0.1,cash
4,29/07/20,2019,0.05,cash
5,12/06/20,2019,0.05,cash
6,12/12/19,2019,0.05,cash
7,21/10/19,2019,0.1,cash
8,03/06/19,2018,0.16,cash
9,06/12/18,2018,0.1,cash
10,13/09/18,2018,0.1,cash
11,25/05/18,2017,0.22,cash
12,31/10/17,2017,0.06,cash
13,05/06/17,2016,0.12,cash
14,05/06/17,2017,0.08,cash
15,02/11/16,2016,0.08,cash
16,30/05/16,2015,0.06,cash
17,14/09/15,2015,0.1,cash
18,26/05/15,2014,0.16,cash
