,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,19/04/21,2020,0.2,cash
1,19/08/20,2019,0.15,cash
2,13/05/19,2018,0.25,cash
3,15/05/18,2017,0.15,cash
4,15/05/18,2018,0.3,share
5,17/05/17,2016,0.1,cash
6,17/05/17,2017,0.4,share
7,04/07/16,2015,0.25,cash
8,10/06/15,2015,0.2,share
9,10/06/15,2014,0.05,cash
10,23/07/14,2013,0.18,cash
11,13/08/13,2012,0.11,cash
12,13/06/12,2011,0.2,cash
13,27/05/11,2010,0.15,cash
14,26/10/10,2010,0.1,cash
15,08/06/10,2009,0.15,cash
16,09/12/09,2009,0.15,cash
