,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/05/22,2021,0.35,cash
1,19/08/21,2021,0.15,cash
2,21/05/21,2020,0.2,cash
3,17/09/20,2020,0.15,cash
4,25/05/20,2019,0.15,cash
5,13/02/20,2019,0.15,cash
6,17/06/19,2018,0.15,cash
7,11/12/18,2018,0.15,cash
8,19/06/18,2017,0.3,cash
9,25/05/17,2016,0.15,cash
10,19/09/16,2016,0.1,cash
11,19/05/16,2015,0.15,cash
12,19/01/16,2015,0.1,cash
13,18/05/15,2014,0.15,cash
14,16/12/14,2014,0.1,cash
15,14/05/14,2013,0.15,cash
16,18/09/13,2013,0.1,cash
17,16/05/13,2012,0.15,cash
18,26/09/12,2012,0.1,cash
19,16/05/12,2011,0.15,cash
