,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,30/01/23,2023,0.1,share
1,19/02/21,2020,0.07,cash
2,30/10/19,2019,0.1,cash
3,14/11/18,2018,0.08,cash
4,03/04/18,2017,0.15,cash
5,21/03/17,2016,0.1,cash
6,20/12/16,2017,0.15,share
7,28/01/16,2015,0.1,cash
8,26/11/15,2015,0.1,share
9,20/08/14,2014,0.1,cash
10,24/03/14,2013,0.1,cash
11,07/08/13,2013,0.1,cash
12,27/03/13,2012,0.1,cash
13,31/07/12,2012,0.1,cash
14,12/03/12,2011,0.1,cash
15,01/08/11,2011,0.1,cash
16,29/12/10,2010,0.1,cash
17,30/06/10,2010,0.1,cash
18,04/01/10,2009,0.1,cash
