,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,21/11/22,2022,0.1,cash
1,11/01/22,2021,0.1,cash
2,03/12/20,2020,0.1,cash
3,24/04/20,2019,0.1,cash
4,24/04/20,2020,0.1,cash
5,15/07/19,2019,0.2,cash
6,31/10/18,2018,0.1,cash
7,15/06/18,2018,0.1,cash
8,28/02/18,2017,0.1,cash
9,29/08/17,2017,0.1,cash
10,30/11/16,2016,0.2,cash
11,19/04/16,2015,0.1,cash
12,08/12/15,2015,0.2,cash
13,06/05/15,2014,0.1,cash
14,11/12/14,2014,0.2,cash
15,24/04/14,2013,0.2,cash
16,06/12/12,2012,0.2,cash
17,14/12/11,2011,0.2,cash
18,03/10/11,2011,0.2,share
19,11/12/09,2009,0.2,cash
