,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,27/06/22,2022,0.2,share
1,23/05/18,2017,0.1,cash
2,13/04/17,2016,0.05,cash
3,11/11/16,2016,0.15,cash
4,21/03/16,2015,0.15,cash
5,16/11/15,2015,0.15,cash
6,26/03/15,2014,0.15,cash
7,17/11/14,2014,0.15,cash
8,03/04/14,2013,0.15,cash
9,07/11/13,2013,0.15,cash
10,20/03/13,2012,0.1,cash
11,06/12/12,2012,0.1,cash
12,06/08/12,2012,0.05,share
13,15/12/11,2011,0.05,cash
14,26/04/11,2010,0.1,cash
15,27/09/10,2010,0.1,cash
16,31/12/09,2009,0.1,cash
17,31/07/09,2009,0.1,cash
18,20/12/08,2008,0.05,cash
