,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,04/07/18,2018,0.13,share
1,04/07/17,2017,0.25,share
2,22/06/16,2016,0.22,share
3,29/06/15,2015,0.16,share
4,26/12/14,2014,0.04,share
5,26/12/14,2014,0.16,share
6,12/04/13,2012,0.06,cash
7,23/05/12,2011,0.1,cash
8,14/12/11,2011,0.06,cash
9,20/04/11,2010,0.05,cash
10,09/02/11,2010,0.1,cash
11,05/01/10,2009,0.1,cash
12,09/09/09,2009,0.05,cash
13,05/12/08,2008,0.15,cash
14,26/12/07,2007,0.07,cash
15,04/09/07,2007,0.08,cash
16,07/02/07,2006,0.1,cash
