,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,08/06/22,2021,0.04,cash
1,21/05/21,2020,0.04,cash
2,24/07/20,2019,0.04,cash
3,25/10/18,2017,0.12,cash
4,29/09/17,2016,0.02,cash
5,13/01/17,2016,0.06,cash
6,19/08/16,2015,0.02,cash
7,19/08/16,2016,0.06,cash
8,21/01/16,2015,0.06,cash
9,11/08/15,2014,0.02,cash
10,11/08/15,2015,0.06,cash
11,29/01/15,2014,0.06,cash
12,14/08/14,2014,0.06,cash
13,20/03/14,2013,0.02,cash
14,09/01/14,2013,0.06,cash
15,26/08/13,2013,0.06,cash
16,08/05/13,2012,0.01,cash
17,12/01/13,2012,0.06,cash
18,14/08/12,2012,0.1,cash
19,18/05/12,2011,0.02,cash
