,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,17/02/23,2022,0.15,cash
1,14/04/22,2021,0.15,cash
2,21/02/22,2021,0.15,cash
3,15/04/21,2020,0.15,cash
4,17/02/21,2020,0.15,cash
5,20/04/20,2019,0.1,cash
6,28/02/20,2019,0.2,cash
7,27/05/19,2018,0.12,cash
8,27/02/19,2018,0.15,cash
9,13/06/18,2017,0.14,cash
10,23/03/18,2017,0.16,cash
11,28/04/17,2016,0.18,cash
12,19/08/16,2015,0.13,cash
13,01/04/15,2014,0.15,cash
14,02/04/14,2013,0.15,cash
15,01/04/13,2012,0.15,cash
16,29/03/12,2011,0.15,cash
17,06/04/11,2010,0.15,cash
