,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,09/12/22,2022,0.12,cash
1,15/07/22,2021,0.07,cash
2,15/07/22,2022,0.13,cash
3,25/08/21,2021,0.25,cash
4,18/12/20,2020,0.22,cash
5,01/10/20,2019,0.05,cash
6,01/10/20,2020,0.05,cash
7,19/11/19,2019,0.2,cash
8,19/08/19,2018,0.05,cash
9,19/08/19,2019,0.15,cash
10,05/12/18,2018,0.25,cash
11,05/04/18,2017,0.15,cash
12,28/12/17,2017,0.23,cash
13,23/06/17,2016,0.03,cash
14,23/06/17,2017,0.07,cash
15,29/12/16,2016,0.22,cash
16,23/08/16,2016,0.05,cash
17,14/04/16,2015,0.025,cash
18,28/12/15,2015,0.275,cash
19,25/12/14,2014,0.25,cash
