,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,15/11/22,2022,0.1,cash
1,29/07/22,2021,0.2,cash
2,15/12/21,2020,0.09,cash
3,25/12/20,2020,0.06,cash
4,17/09/20,2019,0.06,cash
5,19/05/20,2019,0.1,cash
6,19/09/19,2018,0.12,cash
7,18/12/18,2018,0.1,cash
8,23/08/18,2017,0.27,cash
9,07/12/17,2017,0.18,cash
10,31/07/17,2016,0.28,cash
11,05/01/17,2016,0.12,cash
12,08/11/16,2015,0.19,cash
13,24/03/16,2014,0.05,cash
14,24/03/16,2015,0.1,cash
15,29/05/15,2014,0.1,cash
16,15/08/14,2013,0.1,cash
17,31/12/13,2013,0.12,cash
18,11/07/13,2012,0.5,cash
19,04/12/12,2012,0.1,cash
