,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,24/08/22,2021,0.03,cash
1,24/08/22,2022,0.07,share
2,29/09/21,2021,0.05,share
3,14/12/20,2019,0.03,cash
4,14/05/19,2018,0.03,cash
5,14/05/19,2019,0.05,share
6,29/05/18,2018,0.5,share
7,29/05/18,2017,0.05,cash
8,30/06/17,2016,0.1,cash
9,30/06/17,2017,0.35,share
10,23/06/16,2016,0.15,share
11,15/07/15,2014,0.15,cash
12,13/08/14,2013,0.05,cash
13,13/08/14,2014,0.1,share
14,14/06/13,2012,0.1,cash
15,01/06/12,2011,0.1,cash
16,01/06/12,2012,0.2,share
17,13/10/11,2010,0.06,cash
18,24/02/11,2011,0.25,share
19,07/07/10,2010,0.1,share
