,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,19/09/22,2021,0.035,cash
1,15/10/20,2019,0.19,cash
2,13/09/19,2018,0.28,cash
3,19/09/18,2017,0.3,cash
4,21/06/17,2017,0.48,share
5,19/09/16,2016,0.2,share
6,19/09/16,2015,0.2,cash
7,20/10/15,2014,0.2,cash
8,23/09/14,2013,0.04,cash
9,10/10/13,2012,0.05,cash
10,15/11/12,2012,0.2,cash
11,02/05/12,2011,0.08,cash
12,01/02/12,2011,0.2,cash
13,08/04/11,2011,0.15,share
14,17/11/10,2010,0.2,share
15,05/02/10,2010,0.2,share
16,15/04/09,2008,0.05,cash
17,11/12/08,2008,0.05,cash
18,18/09/08,2008,0.15,cash
19,11/04/08,2007,0.044,cash
