,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,29/09/22,2021,0.015,cash
1,23/11/21,2020,0.02,cash
2,24/11/20,2019,0.07,cash
3,24/09/19,2018,0.07,cash
4,09/10/18,2017,0.06,cash
5,23/03/17,2015,0.02,cash
6,23/03/17,2016,0.05,cash
7,24/03/16,2014,0.02,cash
8,24/03/16,2015,0.03,cash
9,18/03/15,2014,0.02,cash
10,16/04/14,2013,0.02,cash
11,26/04/13,2012,0.05,cash
12,10/04/12,2011,0.08,cash
13,20/04/11,2010,0.08,cash
14,16/04/10,2009,0.11,cash
15,30/03/09,2008,0.1,cash
16,23/04/08,2007,0.12,cash
