,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,07/06/22,2021,0.3,cash
1,29/12/21,2020,0.1,cash
2,06/01/21,2019,0.1,cash
3,09/12/19,2019,0.1,cash
4,09/01/19,2018,0.08,cash
5,11/10/18,2018,0.1,cash
6,10/01/18,2017,0.1,cash
7,17/05/17,2017,0.1,cash
8,27/12/16,2016,0.05,cash
9,09/09/16,2016,0.07,cash
10,22/01/16,2015,0.04,cash
11,22/10/15,2015,0.08,cash
12,22/12/14,2014,0.07,cash
13,13/08/14,2014,0.1,cash
14,03/01/14,2013,0.09,cash
15,28/08/13,2013,0.08,cash
16,08/05/13,2012,0.05,cash
17,18/12/12,2012,0.03,cash
18,31/08/12,2012,0.07,cash
19,16/12/11,2011,0.05,cash
