,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,24/11/22,2022,0.1,share
1,21/06/22,2021,0.05,cash
2,07/06/21,2020,0.07,cash
3,21/07/20,2019,0.05,cash
4,21/07/20,2020,0.1,share
5,20/03/19,2018,0.1,cash
6,20/03/18,2017,0.1,cash
7,04/07/17,2017,0.1,share
8,21/03/17,2016,0.08,cash
9,21/03/16,2015,0.05,cash
10,20/03/15,2014,0.08,cash
11,20/03/14,2013,0.1,cash
12,24/05/13,2012,0.1,cash
13,10/07/12,2012,0.15,share
14,08/09/11,2011,0.1,cash
15,06/12/10,2010,0.05,cash
16,22/07/10,2010,0.1,cash
