,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,28/09/22,2021,0.1,cash
1,09/06/22,2020,0.1,cash
2,27/10/20,2019,0.2,cash
3,21/01/20,2018,0.2,cash
4,14/02/19,2017,0.2,cash
5,26/03/18,2016,0.15,cash
6,07/07/17,2016,0.15,cash
7,07/07/16,2016,0.3,cash
8,25/01/16,2016,0.5,share
9,02/10/15,2015,0.5,cash
10,27/05/15,2014,0.2,cash
11,02/03/15,2014,0.2,cash
12,13/08/14,2013,0.15,cash
13,13/09/13,2013,0.05,cash
14,17/05/13,2012,0.05,cash
15,31/07/12,2011,0.03,cash
16,20/12/11,2011,0.07,cash
17,28/09/11,2010,0.05,cash
18,02/07/10,2010,0.05,cash
