,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,13/10/22,2021,0.035,cash
1,19/04/22,2021,0.13,cash
2,09/11/21,2020,0.02,cash
3,14/01/21,2020,0.1,cash
4,14/07/20,2019,0.1,cash
5,03/01/20,2019,0.05,cash
6,29/05/19,2018,0.05,cash
7,31/01/19,2018,0.05,cash
8,29/06/18,2017,0.07,cash
9,31/01/18,2017,0.05,cash
10,04/01/16,2015,0.1,cash
11,20/05/15,2014,0.05,cash
12,05/01/15,2014,0.1,cash
13,10/06/14,2013,0.05,cash
14,06/01/14,2013,0.1,cash
15,10/06/13,2012,0.03,cash
16,20/12/12,2012,0.1,cash
17,08/08/12,2011,0.08,cash
18,11/01/12,2011,0.1,cash
19,16/05/11,2010,0.073,cash
