,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,22/02/23,2023,0.2,share
1,06/12/22,2022,0.05,cash
2,02/03/22,2022,0.2,share
3,02/12/21,2020,0.1,cash
4,02/12/21,2021,0.05,cash
5,31/08/21,2021,0.15,share
6,03/12/20,2020,0.1,cash
7,29/05/20,2019,0.15,cash
8,21/11/19,2019,0.15,cash
9,30/05/19,2018,0.1,cash
10,05/04/19,2018,0.1,cash
11,05/12/18,2018,0.15,share
12,23/11/18,2018,0.1,cash
13,07/06/18,2018,0.1,cash
14,26/12/17,2017,0.1,cash
15,14/09/17,2017,0.4,share
16,04/04/17,2017,0.1,cash
17,05/12/16,2016,0.2,cash
18,28/06/16,2016,0.2,cash
19,28/06/16,2016,0.3,share
