,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,24/05/22,2022,0.025,share
1,04/03/22,2021,0.025,cash
2,14/12/21,2021,0.025,share
3,12/11/21,2020,0.025,cash
4,21/07/20,2019,0.02,cash
5,26/11/19,2019,0.03,cash
6,03/06/19,2018,0.02,cash
7,10/12/18,2018,0.03,cash
8,13/06/18,2017,0.01,cash
9,29/11/17,2017,0.04,cash
10,14/06/17,2016,0.05,cash
11,24/11/16,2016,0.05,cash
12,27/05/16,2015,0.05,cash
13,10/11/15,2015,0.05,cash
14,15/05/15,2014,0.06,cash
15,06/11/14,2014,0.05,cash
16,16/07/14,2013,0.09,cash
17,06/11/13,2013,0.05,cash
18,13/05/13,2012,0.09,cash
19,07/11/12,2012,0.05,cash
