,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,17/10/19,2018,0.275,cash
1,11/05/18,2017,0.375,cash
2,01/09/17,2017,0.4,cash
3,11/05/17,2016,0.36,cash
4,07/02/17,2016,0.4,cash
5,22/09/16,2016,0.4,cash
6,11/05/16,2015,0.4,cash
7,16/12/15,2015,0.4,cash
8,25/08/15,2015,0.4,cash
9,09/06/15,2014,0.35,cash
10,27/01/15,2014,0.4,cash
11,08/09/14,2014,0.4,cash
12,09/06/14,2013,0.425,cash
13,22/01/14,2013,0.25,cash
14,10/06/13,2012,0.05,cash
15,17/12/12,2012,0.2,cash
16,05/06/12,2010,0.005,cash
17,05/06/12,2011,0.025,cash
18,12/12/11,2011,0.125,cash
19,12/12/11,2010,0.015,cash
