,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,30/05/22,2021,0.08,cash
1,14/06/21,2021,0.1,share
2,14/06/21,2020,0.1,cash
3,14/05/20,2019,0.15,cash
4,29/01/19,2018,0.15,cash
5,14/05/18,2017,0.2,cash
6,26/05/17,2016,0.13,cash
7,09/11/16,2016,0.1,cash
8,24/05/16,2015,0.1,cash
9,21/01/16,2015,0.1,cash
10,06/07/15,2014,0.1,cash
11,06/07/15,2015,0.05,cash
12,12/03/15,2014,0.1,cash
13,30/09/14,2014,0.1,cash
14,15/04/14,2013,0.18,cash
15,10/09/13,2013,0.12,cash
16,20/05/13,2012,0.2,cash
17,26/11/12,2012,0.1,cash
18,06/07/12,2011,0.15,cash
19,11/11/11,2011,0.1,cash
