,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,25/10/22,2021,0.15,cash
1,24/08/21,2020,0.15,cash
2,20/08/20,2019,0.1,cash
3,27/06/19,2018,0.07,cash
4,27/12/18,2018,0.05,cash
5,28/09/18,2017,0.102,cash
6,29/08/18,2016,0.03,cash
7,29/08/18,2017,0.12,cash
8,30/05/17,2016,0.15,cash
9,21/07/16,2015,0.15,cash
10,28/07/15,2014,0.1,cash
11,28/01/15,2013,0.03,cash
12,28/01/15,2014,0.05,cash
13,20/06/14,2013,0.13,cash
14,03/07/13,2012,0.13,cash
15,25/07/12,2012,0.13,cash
16,22/08/11,2010,0.17,cash
17,12/11/10,2010,0.1,cash
18,12/05/10,2009,0.17,cash
19,13/10/09,2009,0.08,cash
