,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,15/11/22,2022,0.35,cash
1,19/07/22,2021,0.63,cash
2,13/07/21,2021,0.2,cash
3,17/06/21,2020,0.15,cash
4,15/03/21,2020,0.3,cash
5,21/09/20,2020,0.3,cash
6,09/07/20,2019,0.45,cash
7,09/03/20,2019,0.4,cash
8,05/06/19,2018,0.5,cash
9,30/08/18,2018,0.4,cash
10,30/05/18,2017,0.5,cash
11,21/08/17,2017,0.4,cash
12,12/05/17,2016,0.6,cash
13,30/09/16,2016,0.4,cash
14,11/05/16,2015,0.1,cash
15,04/02/16,2015,0.5,cash
16,06/08/15,2015,0.5,cash
17,13/05/15,2014,0.371,cash
18,22/01/15,2014,0.4,cash
19,21/10/08,2008,0.35,share
