,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,15/08/22,2021,0.2,cash
1,30/12/21,2021,0.15,cash
2,03/06/21,2020,0.1,cash
3,20/04/21,2020,0.1,cash
4,17/11/20,2020,0.1,cash
5,15/04/20,2019,0.14,cash
6,14/11/19,2019,0.15,cash
7,02/04/19,2018,0.15,cash
8,29/08/18,2018,0.1,cash
9,29/05/18,2017,0.1,cash
10,29/03/18,2017,0.15,cash
11,24/11/17,2016,0.05,cash
12,24/11/17,2017,0.05,cash
13,17/03/17,2016,0.1,cash
14,09/12/16,2016,0.1,cash
15,10/03/16,2015,0.1,cash
16,13/08/15,2015,0.15,cash
17,25/02/15,2014,0.13,cash
18,20/08/14,2014,0.1,cash
19,04/04/14,2013,0.15,cash
