,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,20/12/21,2021,0.1,cash
1,11/06/21,2020,0.2,cash
2,02/12/20,2020,0.1,cash
3,13/07/20,2019,0.2,cash
4,22/11/19,2019,0.1,cash
5,14/06/19,2018,0.1,cash
6,26/11/18,2018,0.1,cash
7,18/05/18,2017,0.1,cash
8,07/11/17,2017,0.1,cash
9,23/05/17,2016,0.1,cash
10,30/09/16,2016,0.1,cash
11,16/02/16,2015,0.1,cash
12,21/09/15,2015,0.1,cash
13,21/05/15,2014,0.1,cash
14,18/12/14,2014,0.1,cash
15,06/05/14,2013,0.15,cash
16,13/11/13,2013,0.1,cash
17,13/05/13,2012,0.12,cash
18,06/12/12,2012,0.1,cash
19,06/03/12,2011,0.1,cash
