,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,18/01/23,2022,0.1,cash
1,12/08/22,2021,0.05,cash
2,21/03/22,2021,0.1,cash
3,12/08/21,2020,0.05,cash
4,19/11/20,2020,0.1,cash
5,23/06/20,2019,0.05,cash
6,05/12/19,2019,0.15,cash
7,19/06/19,2017,0.05,cash
8,13/12/18,2018,0.07,cash
9,08/10/18,2018,0.08,cash
10,25/06/18,2017,0.3,cash
11,17/11/17,2017,0.07,cash
12,21/09/17,2016,0.1,cash
13,21/09/17,2017,0.08,cash
14,14/03/17,2016,0.05,cash
15,15/08/16,2016,0.07,cash
16,22/06/16,2015,0.1,cash
17,07/12/15,2015,0.07,cash
18,14/09/15,2015,0.08,cash
19,29/05/15,2014,0.15,cash
