,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,17/11/22,2022,0.2,cash
1,01/07/22,2021,0.25,cash
2,17/03/22,2021,0.15,cash
3,20/07/21,2020,0.2,cash
4,17/03/21,2020,0.15,cash
5,17/06/20,2019,0.15,cash
6,11/02/20,2019,0.15,cash
7,18/07/19,2018,0.25,cash
8,10/12/18,2018,0.1,cash
9,14/06/18,2017,0.15,cash
10,16/01/18,2017,0.15,cash
11,18/05/17,2016,0.15,cash
12,09/02/17,2016,0.1,cash
13,24/05/16,2015,0.07,cash
14,28/01/16,2015,0.1,cash
15,10/06/15,2014,0.07,cash
16,05/02/15,2014,0.1,cash
17,05/06/14,2013,0.12,cash
18,23/12/13,2013,0.1,cash
19,06/09/13,2012,0.1,cash
