,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,31/08/22,2022,0.1,cash
1,18/03/22,2021,0.14,cash
2,04/11/21,2021,0.1,cash
3,19/03/21,2020,0.14,cash
4,05/10/20,2020,0.1,cash
5,05/10/20,2020,0.1,cash
6,12/05/20,2019,0.14,cash
7,02/08/19,2019,0.1,cash
8,21/03/19,2018,0.14,cash
9,14/08/18,2018,0.1,cash
10,22/03/18,2017,0.14,cash
11,08/08/17,2017,0.1,cash
12,22/03/17,2016,0.14,cash
13,09/08/16,2016,0.1,cash
14,22/03/16,2015,0.14,cash
15,04/08/15,2015,0.1,cash
16,26/01/15,2014,0.14,cash
17,23/05/14,2014,0.1,cash
18,11/03/14,2013,0.14,cash
19,30/05/13,2013,0.1,cash
