,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,05/05/22,2021,0.08,cash
1,04/05/21,2020,0.12,cash
2,24/06/20,2019,0.135,cash
3,09/05/19,2018,0.135,cash
4,09/05/18,2017,0.135,cash
5,04/05/17,2016,0.135,cash
6,21/04/16,2015,0.1,cash
7,16/12/14,2014,0.1,cash
8,08/05/14,2013,0.1,cash
9,03/05/13,2012,0.1,cash
10,23/02/12,2011,0.15,cash
11,08/03/11,2010,0.05,cash
12,10/08/10,2010,0.1,cash
13,09/12/09,2009,0.09,cash
14,26/08/09,2009,0.09,cash
15,01/12/08,2008,0.11,cash
16,06/08/08,2008,0.09,cash
17,02/04/08,2007,0.03,cash
18,19/12/07,2007,0.15,cash
19,01/03/07,2006,0.12,cash
