,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,21/02/23,2021,0.06,cash
1,09/12/22,2021,0.15,cash
2,21/07/22,2021,0.1,cash
3,21/12/21,2020,0.1,cash
4,21/01/21,2020,0.1,cash
5,07/04/20,2019,0.06,cash
6,03/01/20,2019,0.13,cash
7,23/07/19,2019,0.07,cash
8,15/01/19,2018,0.09,cash
9,24/10/18,2018,0.16,cash
10,27/04/18,2017,0.06,cash
11,27/04/18,2018,0.05,cash
12,19/01/18,2017,0.15,cash
13,04/08/17,2017,0.1,cash
14,14/03/17,2016,0.06,cash
15,29/12/16,2016,0.1,cash
16,11/01/16,2015,0.05,cash
17,31/12/14,2014,0.2,cash
18,31/12/13,2013,0.15,cash
