,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,08/02/23,2021,0.035,cash
1,08/02/23,2021,0.04,cash
2,05/11/21,2020,0.05,cash
3,05/11/21,2020,0.05,cash
4,24/09/20,2019,0.04,cash
5,24/09/20,2019,0.03,cash
6,06/04/20,2018,0.04,cash
7,06/04/20,2018,0.04,cash
8,10/01/19,2017,0.05,cash
9,10/01/19,2017,0.05,cash
10,04/04/18,2016,0.08,cash
11,04/04/18,2016,0.08,cash
12,08/08/16,2015,0.1,cash
13,28/09/15,2014,0.18,cash
14,11/06/14,2013,0.15,cash
15,25/09/13,2012,0.12,cash
16,29/10/12,2011,0.18,cash
17,29/08/11,2010,0.2,cash
18,05/05/10,2009,0.2,cash
19,15/05/09,2008,0.2,cash
