,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,14/09/22,2022,0.07,cash
1,14/04/22,2021,0.09,cash
2,18/11/21,2020,0.02,cash
3,18/11/21,2021,0.07,cash
4,26/02/21,2020,0.07,cash
5,16/09/20,2020,0.07,cash
6,13/07/20,2019,0.07,cash
7,08/11/19,2019,0.07,cash
8,19/04/19,2018,0.08,cash
9,17/09/18,2017,0.01,cash
10,17/09/18,2018,0.06,cash
11,05/02/18,2017,0.08,cash
12,20/09/17,2016,0.01,cash
13,20/09/17,2017,0.08,cash
14,08/02/17,2016,0.08,cash
15,20/09/16,2016,0.08,cash
16,12/04/16,2015,0.09,cash
17,18/09/15,2014,0.01,cash
18,18/09/15,2015,0.08,cash
19,03/02/15,2014,0.08,cash
