,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,30/06/22,2022,0.06,share
1,15/06/21,2020,0.06,cash
2,07/07/20,2019,0.06,cash
3,07/07/20,2020,0.05,share
4,08/07/19,2019,0.06,share
5,08/07/19,2018,0.06,cash
6,30/07/18,2017,0.07,cash
7,30/07/18,2018,0.03,share
8,28/07/17,2017,0.06,share
9,04/07/17,2016,0.06,cash
10,21/07/16,2016,0.1,share
11,02/03/16,2015,0.05,cash
12,11/09/15,2014,0.06,cash
13,22/07/15,2015,0.06,share
14,02/04/14,2013,0.1,cash
15,02/04/14,2013,0.07,cash
16,01/08/13,2012,0.1,cash
17,21/09/12,2011,0.05,cash
18,21/09/12,2012,0.05,cash
19,15/11/11,2011,0.1,share
