,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,29/11/22,2021,0.05,cash
1,17/03/22,2021,0.1,cash
2,09/12/21,2020,0.05,cash
3,09/09/20,2019,0.1,cash
4,09/09/20,2020,0.2,share
5,30/03/20,2018,0.07,cash
6,30/03/20,2018,0.07,cash
7,12/09/18,2017,0.11,cash
8,05/02/18,2017,0.12,cash
9,07/08/17,2016,0.1,cash
10,23/12/16,2016,0.1,cash
11,13/05/16,2015,0.1,cash
12,18/01/16,2015,0.1,cash
13,24/06/15,2014,0.1,cash
14,26/01/15,2014,0.1,cash
15,29/07/14,2013,0.12,cash
16,26/09/13,2012,0.15,cash
17,26/09/12,2011,0.15,cash
18,01/11/11,2010,0.06,cash
19,06/09/10,2010,0.1,cash
