,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,27/07/22,2022,0.85,cash
1,15/11/21,2021,0.06,cash
2,07/07/20,2020,0.05,cash
3,07/05/19,2019,0.1,cash
4,27/09/18,2018,0.15,cash
5,17/05/17,2017,0.1,cash
6,17/05/17,2017,0.3,share
7,07/12/16,2016,0.1,cash
8,15/09/16,2016,0.2,cash
9,07/06/16,2016,0.1,cash
10,14/01/16,2015,0.1,cash
11,26/05/15,2015,0.1,cash
12,26/05/15,2015,0.2,share
13,30/10/14,2014,0.1,cash
14,06/06/14,2014,0.1,cash
15,06/06/14,2014,0.1,share
16,18/11/13,2013,0.05,share
17,18/11/13,2013,0.1,cash
18,16/07/13,2013,0.1,cash
19,26/11/12,2012,0.2,cash
