,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,29/08/22,2021,0.42,cash
1,15/07/21,2020,0.5,cash
2,27/10/20,2019,0.3,cash
3,26/06/20,2019,0.2,cash
4,24/03/20,2019,0.2,cash
5,30/09/19,2018,0.02,cash
6,15/03/19,2018,0.18,cash
7,14/05/18,2017,0.18,cash
8,27/03/17,2016,0.15,cash
9,09/03/16,2015,0.15,cash
10,18/03/15,2014,0.18,cash
11,26/02/14,2013,0.18,cash
12,30/11/12,2012,0.18,cash
13,24/02/12,2011,0.18,cash
14,06/01/11,2010,0.2,cash
15,18/01/10,2009,0.25,cash
16,31/12/08,2008,0.25,cash
17,31/12/07,2007,0.22,cash
