,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,11/01/21,2020,0.05,cash
1,26/02/20,2019,0.05,cash
2,26/02/19,2018,0.05,cash
3,13/02/18,2017,0.05,cash
4,20/06/17,2016,0.05,cash
5,20/06/17,2017,0.05,share
6,31/10/16,2015,0.05,cash
7,18/02/16,2015,0.05,cash
8,02/06/15,2014,0.06,cash
9,18/12/14,2014,0.06,cash
10,23/04/14,2013,0.1,cash
11,10/12/12,2011,0.07,cash
12,12/06/12,2011,0.08,cash
13,14/12/11,2010,0.07,cash
14,04/04/11,2010,0.08,cash
15,22/02/10,2009,0.05,cash
16,10/06/08,2007,0.07,cash
17,12/03/08,2007,0.07,cash
