,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,12/07/22,2021,0.04,cash
1,10/06/21,2020,0.025,cash
2,07/12/20,2019,0.04,cash
3,09/07/20,2019,0.07,cash
4,28/11/19,2018,0.263,cash
5,17/05/19,2017,0.07,cash
6,17/05/19,2018,0.045,cash
7,17/05/19,2018,0.26,cash
8,20/04/17,2016,0.085,cash
9,22/04/16,2015,0.1,cash
10,17/06/15,2014,0.16,cash
11,28/05/14,2013,0.17,cash
12,16/05/13,2012,0.17,cash
13,12/04/12,2011,0.17,cash
14,04/04/11,2010,0.15,cash
15,29/03/10,2009,0.12,cash
16,03/02/09,2008,0.11,cash
