,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,29/12/22,2022,0.15,cash
1,20/05/22,2022,0.15,cash
2,05/01/22,2021,0.05,cash
3,27/07/21,2021,0.15,cash
4,12/01/21,2020,0.1,cash
5,24/07/20,2019,0.05,cash
6,24/07/20,2020,0.1,cash
7,05/03/20,2019,0.05,cash
8,11/12/19,2019,0.1,cash
9,19/09/19,2018,0.05,cash
10,19/09/19,2019,0.05,share
11,24/04/19,2018,0.1,cash
12,30/08/18,2017,0.1,cash
13,21/12/17,2017,0.1,cash
14,13/07/17,2016,0.15,cash
15,07/12/16,2016,0.15,cash
16,22/06/16,2015,0.1,cash
17,30/11/15,2015,0.1,cash
18,03/07/15,2014,0.15,cash
19,07/01/15,2014,0.05,cash
