,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,17/03/17,2016,0.05,cash
1,18/02/16,2015,0.06,cash
2,10/03/15,2014,0.08,cash
3,10/03/14,2013,0.08,cash
4,21/05/13,2013,0.1,share
5,21/05/13,2012,0.06,cash
6,29/02/12,2011,0.06,cash
7,17/08/11,2011,0.1,cash
8,08/03/11,2010,0.09,cash
9,14/06/10,2010,0.06,cash
10,03/03/10,2009,0.1,cash
11,22/07/09,2009,0.06,cash
12,09/03/09,2008,0.05,cash
13,19/08/08,2008,0.05,cash
14,19/08/08,2008,0.05,cash
15,04/01/08,2007,0.06,cash
16,25/07/07,2007,0.06,cash
17,25/05/07,2007,0.09,share
18,25/05/06,2006,0.06,cash
19,29/08/05,2005,0.06,cash
