,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,30/05/22,2021,0.3,cash
1,28/05/21,2020,0.1,cash
2,18/12/20,2020,0.2,cash
3,28/05/20,2019,0.4,cash
4,27/12/19,2019,0.2,cash
5,23/05/19,2018,0.21,cash
6,13/12/18,2018,0.14,cash
7,24/05/18,2017,0.3,cash
8,19/05/17,2016,0.05,cash
9,15/02/17,2016,0.15,cash
10,24/05/16,2015,0.15,cash
11,10/07/15,2014,0.15,cash
12,06/05/14,2013,0.15,cash
13,09/05/13,2012,0.15,cash
14,29/05/12,2011,0.15,cash
15,05/05/11,2010,0.15,cash
16,04/06/10,2009,0.04,cash
17,08/12/09,2009,0.1,cash
18,07/05/09,2008,0.04,cash
19,26/11/08,2008,0.1,cash
