,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,07/10/22,2020,0.07,cash
1,31/08/20,2018,0.05,cash
2,31/08/20,2019,0.05,cash
3,27/11/18,2017,0.1,cash
4,10/11/16,2016,0.08,cash
5,17/02/16,2015,0.15,cash
6,08/09/15,2015,0.15,cash
7,14/04/15,2014,0.07,cash
8,13/08/14,2014,0.08,cash
9,24/03/14,2013,0.08,cash
10,16/07/13,2013,0.08,cash
11,10/04/13,2012,0.08,cash
12,26/09/12,2012,0.1,cash
13,27/03/12,2011,0.1,cash
14,31/10/11,2011,0.1,cash
15,01/04/11,2010,0.05,cash
16,12/01/11,2010,0.15,cash
17,22/01/10,2009,0.08,cash
18,29/07/09,2009,0.1,cash
19,12/12/08,2008,0.08,cash
