,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,13/09/22,2021,0.05,cash
1,13/09/22,2022,0.05,cash
2,26/08/21,2020,0.05,cash
3,26/08/21,2021,0.05,cash
4,23/11/20,2019,0.05,cash
5,23/11/20,2020,0.05,cash
6,04/06/19,2018,0.15,cash
7,05/06/18,2017,0.07,cash
8,13/12/17,2017,0.08,cash
9,13/04/17,2016,0.2,cash
10,23/06/16,2015,0.1,cash
11,20/05/15,2014,0.1,cash
12,02/06/14,2013,0.03,cash
13,10/03/14,2013,0.05,cash
14,26/06/13,2012,0.02,cash
15,14/01/13,2012,0.05,cash
16,19/09/12,2011,0.03,cash
17,19/09/12,2012,0.05,cash
18,01/03/12,2011,0.06,cash
19,22/12/11,2011,0.06,cash
