,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,14/08/19,2018,0.06,cash
1,29/10/18,2018,0.2,share
2,09/08/18,2017,0.07,cash
3,31/08/17,2016,0.06,cash
4,05/08/16,2015,0.08,cash
5,22/06/15,2014,0.06,cash
6,27/06/14,2013,0.045,cash
7,02/07/12,2011,0.1,cash
8,19/05/11,2010,0.11,cash
9,24/03/10,2009,0.11,cash
10,12/03/09,2008,0.1,cash
11,18/04/08,2007,0.14,cash
12,13/06/07,2004,0.008,cash
13,13/06/07,2005,0.01,cash
14,13/06/07,2006,0.022,cash
15,20/04/07,2006,0.14,cash
16,17/05/06,2005,0.185,cash
