,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,01/06/22,2021,0.08,cash
1,10/06/21,2020,0.08,cash
2,15/07/20,2019,0.09,cash
3,30/05/19,2018,0.09,cash
4,10/05/18,2017,0.09,cash
5,31/05/17,2016,0.08,cash
6,24/05/16,2015,0.05,cash
7,24/06/15,2014,0.01,cash
8,22/12/14,2014,0.03,cash
9,15/05/14,2013,0.03,cash
10,24/04/13,2012,0.03,cash
11,09/05/12,2011,0.06,cash
12,22/06/11,2010,0.06,cash
13,17/11/09,2009,0.04,cash
14,20/04/09,2008,0.04,cash
15,20/05/08,2007,0.02,cash
16,25/03/08,2007,0.03,cash
17,24/12/07,2007,0.09,cash
