,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,23/11/20,2019,0.03,cash
1,14/08/19,2018,0.1,cash
2,04/07/18,2017,0.15,cash
3,04/07/18,2018,0.05,cash
4,04/07/17,2016,0.08,cash
5,04/07/17,2017,0.1,cash
6,06/07/16,2015,0.05,cash
7,06/07/16,2016,0.07,cash
8,03/11/15,2015,0.05,cash
9,04/02/15,2014,0.07,cash
10,26/08/14,2013,0.02,cash
11,26/08/14,2014,0.03,cash
12,14/02/14,2013,0.08,cash
13,22/02/13,2012,0.1,cash
14,01/03/12,2011,0.05,cash
15,21/09/11,2011,0.05,cash
16,08/03/11,2010,0.05,cash
17,16/08/10,2010,0.05,cash
18,22/07/09,2009,0.1,cash
19,11/12/08,2008,0.05,cash
