,exerciseDate,cashYear,cashDividendPercentage,issueMethod
0,06/09/22,2022,0.2,cash
1,24/05/22,2021,0.15,cash
2,13/12/21,2021,0.15,cash
3,07/05/21,2020,0.2,cash
4,12/03/21,2020,0.1,cash
5,19/11/20,2020,0.1,cash
6,20/08/20,2020,0.1,cash
7,08/04/20,2019,0.3,cash
8,17/09/19,2019,0.2,cash
9,26/12/18,2018,0.2,cash
10,09/10/18,2018,0.2,cash
11,11/07/18,2017,0.2,cash
12,26/04/18,2017,0.2,cash
13,30/10/17,2017,0.1,cash
14,19/05/17,2016,0.2,cash
15,09/12/16,2016,0.1,cash
16,22/04/16,2015,0.2,cash
17,29/01/16,2015,0.1,cash
18,29/05/15,2014,0.15,cash
19,14/01/15,2014,0.1,cash
