,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,AAM,4,2022,6.9,0.6,9.3,,0.084,0.081,284,184,3,,1617,20049,,,,,,0.959,,,23.2,22.8,10.0,-0.054,826,0.095,0.023,0.079,0.0,0.0,0.0,,1.0,173,0.049,0.088,466,1.3,-0.123,1.0,0.9,0.023,4.0,,,,,,,,,0.0,,-0.21,0.008,
1,AAM,3,2022,6.8,0.6,7.9,,0.09,0.085,256,156,14,,1709,19891,,,,,,0.931,,,13.5,12.9,9.2,0.164,1045,0.111,0.017,0.057,0.0,0.0,0.0,,1.1,171,0.104,0.176,398,1.4,-0.11,1.1,0.9,0.017,3.9,,,,,,,,,0.1,,0.297,0.013,
2,AAM,2,2022,7.9,0.6,10.6,,0.078,0.074,294,172,16,,1469,19637,,,,,,0.945,,,17.1,16.7,12.4,3.492,806,0.224,0.099,0.131,0.0,0.0,0.1,,1.1,167,0.223,0.36,450,1.2,-0.105,1.0,1.0,0.099,1.3,,,,,,,,,0.1,,-6.742,0.045,
3,AAM,1,2022,46.3,0.8,-44.7,,0.018,0.017,360,235,12,,327,18793,,,,,,0.955,,,21.0,20.8,11.9,14.157,-140,0.053,,0.037,0.0,0.0,-1.2,,1.0,160,0.228,0.367,584,1.0,-0.008,0.8,1.0,,-1.4,,,,,,,,,0.0,,-0.167,0.011,
4,AAM,4,2021,583.9,0.7,-65.8,,0.001,0.001,426,294,9,,21,18593,,,,,,0.966,,,28.7,29.4,14.1,-1.019,-169,0.127,0.061,0.07,0.0,0.0,-1.8,,1.0,157,0.318,0.382,711,0.9,-0.027,0.7,1.0,0.061,1.2,,,,,,,,,0.0,,-0.859,0.023,
5,AAM,3,2021,-10.1,0.6,-7.1,,-0.06,-0.056,552,411,17,-106.7,-1117,18182,,,,,,0.964,,,27.1,28.0,7.4,-0.281,-1194,,,0.01,0.0,0.0,-0.3,,1.0,154,0.132,0.194,946,0.7,-0.026,0.5,1.0,,-0.1,,,,,,,,,0.0,,-0.199,0.001,
6,AAM,2,2021,-6.9,0.6,-4.9,,-0.082,-0.078,506,352,10,-146.4,-1555,18168,,,,,,0.954,,,20.9,20.7,5.6,0.183,-1490,,,,0.0,0.0,-0.2,,1.0,153,0.109,0.181,849,0.7,-0.001,0.6,,,0.6,,,,,,,,,0.0,,0.199,-0.016,
7,AAM,1,2021,-8.1,0.6,-6.3,,-0.069,-0.065,535,372,11,-39.6,-1314,18466,,,,,,0.942,,,16.2,15.6,4.2,0.148,-1243,0.023,,,0.0,0.0,-0.2,,1.1,155,0.096,0.166,896,0.7,-0.02,0.5,,,0.6,,,,,,,,,0.1,,0.137,-0.006,
8,AAM,4,2020,-9.8,0.6,-8.4,,-0.059,-0.055,493,350,14,-111.6,-1144,18572,,,,,,0.921,,,11.6,11.0,3.3,2.384,-1093,,,,0.0,0.0,-0.3,,1.1,156,0.135,0.226,828,0.7,-0.016,0.6,,,0.9,,,,,,,,,0.1,,1.48,-0.038,
9,AAM,3,2020,-34.3,0.6,-22.0,,-0.017,-0.015,390,287,17,-64.0,-338,19300,,,,,,0.913,,,10.5,9.9,2.8,-3.348,-441,,,,0.0,0.0,-1.1,,1.1,162,0.05,0.082,661,0.9,-0.031,0.7,,,0.9,,,,,,,,,0.1,,-9.772,-0.022,
