,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,AAV,4,2022,178.4,0.4,22.9,,0.002,0.001,280,11,7,-2.2,21,11020,,,,,,0.704,,,3.0,3.4,3.4,-0.805,328,0.054,,,0.2,0.2,7.1,,1.4,530,0.003,0.009,284,1.3,-0.022,0.5,,,1.5,,,,,,,,,0.3,,-0.417,-0.008,
1,AAV,3,2022,60.8,0.6,19.5,,0.013,0.009,288,12,11,2.7,111,11113,,,,,,0.71,,,3.1,3.5,3.5,-0.475,563,0.098,0.05,0.022,0.2,0.2,5.2,,1.4,535,0.001,0.002,289,1.3,0.201,0.6,0.5,0.05,0.8,,,,,,,,,0.3,,-0.171,0.004,
2,AAV,2,2022,38.6,0.7,17.9,,0.026,0.018,249,11,4,5.6,212,11073,,,,,,0.708,,,3.1,3.5,3.4,-0.283,679,0.089,0.05,0.027,0.2,0.2,4.7,,1.4,531,0.003,0.006,256,1.5,0.197,0.6,0.6,0.05,0.9,,,,,,,,,0.3,,-0.249,0.006,
3,AAV,1,2022,69.6,1.9,17.8,,0.036,0.025,266,13,10,1.9,296,11005,,,,,,0.743,,,3.8,4.3,4.2,-0.179,905,0.072,0.017,0.0,0.2,0.1,3.1,,1.3,532,0.005,0.006,268,1.4,0.227,0.6,0.0,0.017,0.8,,,,,,,,,0.3,,-0.101,0.0,
4,AAV,4,2021,63.0,2.1,20.9,,0.044,0.031,151,15,6,-0.9,361,11004,,,,,,0.765,,,4.4,2.7,2.6,-0.197,1007,0.063,,0.002,0.2,0.1,2.6,,1.3,231,0.003,0.002,160,2.4,-0.028,0.6,0.4,,-0.7,,,,,,,,,0.2,,-0.171,0.932,
5,AAV,3,2021,63.5,5.0,37.2,,0.082,0.051,133,15,22,18.6,450,5697,,,,,,0.642,,,2.1,2.4,2.3,0.406,1214,0.103,0.083,0.055,0.3,0.2,3.1,,1.6,207,0.027,0.008,126,2.7,-0.29,0.8,0.7,0.083,1.0,,,,,,,,,0.5,,0.336,0.025,
6,AAV,2,2021,41.4,2.4,38.6,,0.059,0.037,164,20,27,22.4,320,5559,,,,,,0.655,,,2.2,2.5,2.3,0.571,909,0.115,0.112,0.072,0.3,0.2,4.4,,1.5,191,0.036,0.015,157,2.2,-0.291,0.6,0.6,0.112,1.0,,,,,,,,,0.5,,0.709,0.029,
7,AAV,1,2021,65.1,2.5,35.6,,0.038,0.024,201,23,22,8.0,203,5401,,,,,,0.62,,,1.9,2.2,2.1,0.054,532,0.111,0.075,0.046,0.3,0.2,8.0,19.7,1.6,182,0.01,0.009,201,1.8,-0.312,0.5,0.6,0.075,1.0,,,,,,,,,0.5,,0.031,0.012,
8,AAV,4,2020,65.2,2.4,38.5,,0.037,0.022,194,27,27,-5.0,193,5336,,,,,,0.613,,,1.8,2.2,2.1,0.051,516,0.086,,0.07,0.4,0.2,8.1,28.4,1.6,185,0.008,0.006,194,1.9,-0.112,0.5,1.0,,-1.4,,,,,,,,,0.6,,-0.432,0.018,
9,AAV,3,2020,41.5,1.5,19.6,,0.036,0.021,156,25,54,1.4,184,5239,,,,,,0.589,,,1.6,1.9,1.8,-0.413,908,0.098,0.03,0.007,0.4,0.2,4.5,28.3,1.7,165,0.01,0.009,126,2.3,-0.006,0.6,0.4,0.03,0.6,,,,,,,,,0.6,,-0.269,0.0,
