,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,ABS,4,2022,17.0,0.5,13.6,,0.029,0.017,143,3,37,-1.3,340,11880,,,,,,0.568,,,1.3,1.9,1.9,-0.615,894,0.05,0.042,0.015,0.6,0.3,7.0,,1.8,638,0.004,0.008,109,2.6,0.0,1.0,0.6,0.042,0.6,,,,,,,,,0.8,,0.252,0.01,
1,ABS,3,2022,11.3,0.9,17.0,,0.077,0.042,157,2,73,,886,11757,,,,,,0.56,,,1.3,1.9,1.8,0.025,714,0.06,0.041,0.033,0.5,0.3,8.0,,1.8,628,0.007,0.015,86,2.3,0.0,0.8,0.8,0.041,1.0,,,,,,,,,0.8,,0.074,0.006,
2,ABS,2,2022,11.9,0.9,23.9,,0.075,0.042,158,3,64,1.0,865,11689,,,,,,0.562,,,1.3,1.9,1.8,0.032,665,0.053,0.045,0.017,0.5,0.3,8.5,,1.8,625,0.023,0.028,97,2.3,0.0,0.9,0.8,0.045,0.5,,,,,,,,,0.8,,0.132,0.006,
3,ABS,1,2022,27.8,2.0,31.0,,0.073,0.04,107,2,88,,838,11624,,,,,,0.527,,,1.1,1.7,1.7,0.022,587,0.064,0.052,0.012,0.6,0.3,9.1,,1.9,620,0.002,0.002,21,3.4,-3.021,0.8,0.8,0.052,0.3,,,,,,,,,0.9,,-0.191,0.004,
4,ABS,4,2021,31.8,2.2,39.0,,0.096,0.047,114,4,81,,820,11583,,,,,,0.582,,,1.4,1.9,1.9,0.267,726,0.036,0.027,0.11,0.5,0.3,9.7,,1.7,616,0.003,0.002,37,3.2,-2.97,0.9,0.8,0.027,5.1,,,,,,,,,0.7,,-0.479,0.015,
5,ABS,3,2021,32.4,1.8,27.8,,0.079,0.046,87,1,58,,647,11415,,,,,,0.532,,,1.1,1.8,1.8,0.012,1394,0.039,0.018,0.024,0.4,0.2,3.0,,1.9,608,0.007,0.003,31,4.2,-2.921,1.3,0.8,0.018,1.6,,,,,,,,,0.9,,-0.093,0.004,
6,ABS,2,2021,46.2,2.6,23.3,,0.078,0.045,90,3,62,,640,11368,,,,,,0.555,,,1.2,1.8,1.8,0.007,1537,0.048,0.038,0.015,0.4,0.2,3.0,,1.8,602,0.004,0.002,30,4.1,-2.76,1.2,0.8,0.038,0.5,,,,,,,,,0.8,,0.109,0.004,
7,ABS,1,2021,70.6,4.0,26.4,,0.078,0.045,44,4,79,,635,11318,,,,,,0.556,,,1.3,1.2,1.2,0.009,1386,0.109,0.08,0.016,0.4,0.2,3.0,,1.8,173,0.001,0.001,-31,8.3,-0.004,1.0,0.8,0.08,0.2,,,,,,,,,0.8,,-0.331,1.068,
8,ABS,4,2020,31.6,3.6,87.5,,0.121,0.056,36,5,88,,630,5472,,,,,,0.374,,,0.6,1.2,1.2,0.838,2072,0.077,0.07,0.053,0.8,0.3,3.2,,2.7,132,0.006,0.0,-47,10.1,-0.004,1.2,0.8,0.07,1.0,,,,,,,,,1.7,,1.102,0.095,
9,ABS,3,2020,32.9,2.3,77.0,,0.07,0.044,65,8,94,,343,4998,,,,,,0.716,,,2.5,1.6,1.6,0.073,986,0.082,0.044,0.03,0.2,0.2,2.8,,1.4,94,0.002,0.0,-20,5.6,-0.004,0.9,0.8,0.044,0.9,,,,,,,,,0.4,,-0.1,0.006,
10,ABS,2,2020,27.5,1.8,15.8,,0.065,0.036,60,11,133,2.1,319,4968,,,,,,0.607,,,1.5,1.4,1.3,-0.229,1095,0.092,0.057,0.043,0.3,0.2,3.3,349.3,1.6,92,0.007,0.007,-63,6.1,0.0,0.8,0.8,0.057,0.9,,,,,,,,,0.6,,-0.249,-0.019,
