,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,ACM,4,2022,-3.4,0.1,-76.3,,-0.029,-0.02,,,73,-0.2,-205,6901,,,,,,0.659,,,1.9,0.8,0.1,0.004,-29,,,,0.2,0.1,-52.8,,1.5,-33,0.0,0.004,,,0.0,0.0,,,6.7,,,,,,,,,0.5,,-0.068,-0.008,
1,ACM,3,2022,-5.9,0.2,,,-0.029,-0.02,,,72,-0.2,-204,6957,,,,,,0.664,,,2.0,0.8,0.1,0.018,-31,,,,0.2,0.1,-49.2,,1.5,-34,0.002,,,,0.0,0.0,,,5.7,,,,,,,,,0.5,,0.133,-0.008,
2,ACM,2,2022,-7.0,0.2,,,-0.028,-0.019,,,69,-0.1,-201,7010,,,,,,0.669,,,2.0,0.8,0.1,0.115,-28,,,,0.2,0.1,-55.7,,1.5,-37,0.002,,,,0.0,0.0,,,8.0,,,,,,,,,0.5,,0.059,-0.003,
3,ACM,1,2022,-17.2,0.4,,,-0.025,-0.016,,,72,-0.1,-180,7028,,,,,,0.671,,,2.0,1.0,0.2,-0.3,-26,,,,0.2,0.1,-59.0,1.2,1.5,-1,0.003,,,,0.0,0.0,,,8.9,,,,,,,,,0.5,,-0.05,-0.007,
4,ACM,4,2021,-13.2,0.5,-81.1,,-0.036,-0.025,,,72,-0.2,-257,7077,,,,,,0.677,,,2.1,1.0,0.2,-0.771,-27,,,,0.2,0.1,-56.0,1.2,1.5,-6,0.001,0.012,,,0.0,0.0,,,5.3,,,,,,,,,0.5,,-0.969,-0.008,
5,ACM,3,2021,-3.1,0.5,,,-0.146,-0.103,,,70,,-1126,7131,,,,,,0.681,,,2.1,1.0,0.2,-0.003,-896,,,,0.2,0.1,-1.7,1.2,1.5,-6,0.002,,,0.0,0.0,0.0,,,8.6,,,,,,,,,0.5,,-0.004,-0.007,
6,ACM,2,2021,-2.8,0.4,,,-0.146,-0.104,,,69,,-1130,7181,,,,,,0.685,,,2.2,0.9,0.2,-0.023,-900,,,,0.2,0.1,-1.7,1.2,1.5,-9,0.004,,,0.0,0.0,0.0,,,6.1,,,,,,,,,0.5,,-0.007,-0.004,
7,ACM,1,2021,-1.7,0.3,,,-0.149,-0.099,,,69,,-1156,7209,,,,,,0.597,,,1.5,0.9,0.5,0.071,-906,,,,0.2,0.1,-1.7,1.2,1.7,-20,0.006,,,0.0,0.0,0.0,,,18.5,,,,,,,,,0.7,,0.001,-0.017,
8,ACM,4,2020,-1.1,0.2,-5.2,,-0.137,-0.099,,,68,-20.0,-1080,7335,,,,,,0.7,,,2.3,0.9,0.2,87.823,-905,,,,0.2,0.1,-1.7,1.2,1.4,-15,0.006,0.013,,0.0,0.0,0.0,,,1.1,,,,,,,,,0.4,,-6.288,-0.112,
9,ACM,3,2020,-65.8,0.1,,,-0.001,-0.001,,,70,-0.2,-12,8258,,,,,,0.728,,,2.7,1.2,0.6,-0.368,171,,,,0.2,0.1,9.0,1.2,1.4,27,0.004,,,0.0,0.0,0.0,,,5.7,,,,,,,,,0.4,,0.036,-0.006,
