,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,ADS,4,2022,7.8,0.9,9.4,,0.119,0.032,70,119,24,,1545,13730,,,,,,0.272,,,0.4,1.2,0.9,-0.206,3232,0.045,0.009,0.009,1.3,0.4,6.0,4.3,3.7,321,0.084,0.103,165,5.2,-0.02,0.8,0.4,0.009,2.4,,,,,,,,,2.4,,-0.433,-0.005,
1,ADS,3,2022,7.0,1.0,5.7,,0.159,0.045,53,103,13,1.8,1946,13794,,,,,,0.293,,,0.5,1.3,0.9,-0.044,5696,0.063,0.046,0.036,1.2,0.4,3.6,3.5,3.4,324,0.064,0.094,143,6.8,-0.302,0.9,0.8,0.046,0.9,,,,,,,,,2.2,,-0.102,0.015,
2,ADS,2,2022,8.3,1.2,5.9,,0.174,0.046,56,122,22,1.8,2035,13596,,,,,,0.29,,,0.5,1.2,0.8,-0.056,6343,0.106,0.08,0.053,1.2,0.4,3.5,3.4,3.4,295,0.03,0.037,156,6.5,-0.288,0.9,0.9,0.08,0.8,,,,,,,,,2.2,,0.215,0.046,
3,ADS,1,2022,14.9,2.5,8.0,,0.194,0.045,64,132,36,,2156,12998,,,,,,0.249,,,0.4,1.2,0.9,0.113,5222,0.106,0.079,0.057,1.4,0.4,4.5,3.3,4.0,322,0.186,0.163,159,5.7,-0.084,0.8,0.8,0.079,1.0,,,,,,,,,2.7,,0.068,0.058,
4,ADS,4,2021,16.3,2.6,12.3,,0.183,0.045,64,142,25,,1937,12282,,,,,,0.273,,,0.4,1.3,0.8,-0.008,4887,0.117,0.072,0.043,1.2,0.4,4.6,5.2,3.7,327,0.217,0.095,182,5.7,-0.077,0.8,0.7,0.072,0.8,,,,,,,,,2.4,,-0.07,0.157,
5,ADS,3,2021,13.4,2.5,11.9,,0.206,0.049,46,127,20,,1952,10614,,,,,,0.264,,,0.4,1.2,0.8,0.084,5254,0.109,0.076,0.063,1.5,0.4,4.7,5.3,3.8,206,0.057,0.024,152,8.0,-0.014,0.8,0.8,0.076,1.1,,,,,,,,,2.8,,0.008,0.084,
6,ADS,2,2021,10.1,1.9,13.9,,0.202,0.045,49,141,33,,1801,9789,,,,,,0.233,,,0.3,1.2,0.8,0.892,5210,0.136,0.099,0.07,1.4,0.4,5.0,5.3,4.3,216,0.08,0.03,156,7.5,-0.016,0.8,0.8,0.099,0.9,,,,,,,,,2.9,,0.341,0.064,
7,ADS,1,2021,11.6,1.2,14.4,,0.109,0.023,55,133,34,,952,9203,,,,,,0.216,,,0.3,1.2,0.8,0.783,3886,0.1,0.075,0.051,1.6,0.4,7.1,4.7,4.6,254,0.055,0.03,155,6.6,-0.009,0.7,0.8,0.075,0.9,,,,,,,,,3.2,,0.261,0.038,
8,ADS,4,2020,12.8,0.8,13.5,,0.062,0.014,46,103,25,-0.4,534,8865,,,,,,0.211,,,0.3,1.2,0.8,1.913,3082,0.046,0.025,0.047,1.8,0.4,9.4,6.8,4.7,205,0.087,0.095,124,8.0,-0.009,0.8,0.8,0.025,2.2,,,,,,,,,3.3,,0.015,0.059,
9,ADS,3,2020,33.0,0.7,13.3,,0.022,0.005,41,107,23,1.9,183,8372,,,,,,0.209,,,0.3,1.1,0.8,-2.301,3037,0.133,0.094,0.075,1.7,0.4,9.3,6.1,4.8,167,0.026,0.029,125,8.9,-0.003,0.8,1.0,0.094,0.8,,,,,,,,,3.3,,0.034,0.038,
10,ADS,2,2020,-42.4,0.7,13.4,,-0.017,-0.004,25,95,21,0.1,-140,8062,,,,,,0.208,,,0.3,1.1,0.7,-1.843,2937,0.019,0.002,,1.8,0.4,10.3,6.2,4.8,143,0.016,0.024,99,14.6,-0.008,0.9,,0.002,-9.9,,,,,,,,,3.4,,-0.084,-0.026,
11,ADS,1,2020,36.9,0.7,12.8,,0.019,0.004,40,95,22,0.0,167,8279,,,,,,0.206,,,0.3,1.1,0.8,-0.374,3206,0.034,0.0,,2.0,0.4,9.8,6.0,4.9,155,0.041,0.069,114,9.0,-0.006,0.9,,0.0,-45.5,,,,,,,,,3.4,,-0.067,-0.148,
