,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,AGG,4,2022,-161.6,1.6,8.1,,-0.01,-0.002,136,208,46,3.7,-181,18816,,,,,,0.212,,,0.3,1.4,0.8,-1.06,5868,0.152,0.042,,0.6,0.1,3.3,1.6,4.7,2685,0.265,0.197,298,2.7,-0.393,0.9,,0.042,0.0,,,,,,,,,3.1,,0.394,-0.051,
1,AGG,3,2022,10.8,1.7,12.2,,0.173,0.033,223,365,102,2.0,3018,19820,,,,,,0.227,,,0.4,1.5,0.9,0.095,4210,0.137,0.038,0.019,0.5,0.2,4.9,4.4,4.4,2874,0.346,0.294,486,1.6,-0.243,0.6,0.5,0.038,0.9,,,,,,,,,2.5,,0.16,0.018,
2,AGG,2,2022,12.5,1.8,14.5,,0.16,0.028,353,614,139,4.2,2756,19477,,,,,,0.193,,,0.3,1.5,0.8,-0.169,3628,0.196,0.09,0.044,0.8,0.2,6.9,6.5,5.2,3469,0.544,0.431,828,1.0,-0.305,0.4,0.7,0.09,0.8,,,,,,,,,3.1,,2.572,0.051,
3,AGG,1,2022,13.6,2.4,64.5,,0.207,0.034,892,1390,98,0.9,3319,18528,,,,,,0.16,,,0.2,1.6,0.8,-0.01,1016,0.216,0.073,0.002,1.0,0.2,26.0,3.1,6.3,4787,0.415,0.291,2183,0.4,-0.292,0.2,0.0,0.073,0.7,,,,,,,,,4.0,,-0.231,0.098,
4,AGG,4,2021,10.9,2.2,66.2,,0.22,0.038,1015,1614,117,1.3,3351,16866,,,,,,0.168,,,0.3,2.0,0.8,-0.004,1322,0.169,0.031,0.192,0.9,0.2,22.7,0.6,6.0,5503,0.149,0.089,2512,0.4,-0.25,0.2,0.8,0.031,7.9,,,,,,,,,3.7,,-0.389,0.113,
5,AGG,3,2021,9.7,2.2,43.0,,0.249,0.041,638,1187,64,0.2,3363,15149,,,,,,0.16,,,0.3,2.0,0.6,0.001,2164,0.517,0.079,0.109,1.0,0.2,11.4,0.5,6.2,5158,0.059,0.029,1761,0.6,-0.398,0.2,1.3,0.079,1.1,,,,,,,,,3.8,,0.339,0.005,
6,AGG,2,2021,11.7,2.6,52.1,,0.25,0.042,631,1159,65,-0.5,3360,15076,,,,,,0.158,,,0.3,2.0,0.7,0.003,1616,0.15,,0.73,1.0,0.2,15.0,0.5,6.3,5192,0.178,0.11,1725,0.6,-1.601,0.2,1.0,,-12.3,,,,,,,,,3.9,,0.163,0.112,
7,AGG,1,2021,9.7,2.4,61.5,,0.28,0.053,599,933,46,1.4,3351,13557,,,,,,0.166,,,0.3,2.2,0.8,0.011,1389,0.371,0.151,0.016,1.0,0.2,15.6,0.2,6.0,5120,0.255,0.13,1486,0.6,-1.385,0.3,0.2,0.151,0.5,,,,,,,,,3.5,,0.842,-0.006,
8,AGG,4,2020,6.7,1.6,92.5,,0.276,0.055,605,1028,52,4.2,3314,13646,,,,,,0.175,,,0.3,2.0,0.7,-0.093,754,0.148,0.06,0.129,1.1,0.3,29.9,0.3,5.7,4555,0.223,0.141,1581,0.6,-1.69,0.2,0.8,0.06,2.7,,,,,,,,,3.2,,1.193,0.145,
9,AGG,3,2020,6.2,1.9,172.4,,0.362,0.084,3244,11750,30,-1.3,3653,11919,,,,,,0.17,,,0.3,1.7,0.6,0.013,344,0.107,,0.645,0.9,0.2,40.3,0.2,5.9,3121,0.174,0.116,14964,0.1,-1.907,0.0,1.2,,-0.3,,,,,,,,,3.6,,-0.521,0.006,
