,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,AGM,4,2022,-0.7,0.3,-20.1,,-0.346,-0.08,24,18,3,-2.4,-7718,18155,,,,,,0.2,,,0.3,1.3,1.1,14.122,-3770,0.024,,,3.1,0.7,-17.4,1.0,5.0,199,0.029,0.108,39,15.1,-0.598,2.0,,,1.6,,,,,,,,,3.3,,4.61,-0.259,
1,AGM,3,2022,-30.2,0.6,-114.9,,-0.021,-0.006,28,31,6,-1.6,-510,24508,,,,,,0.248,,,0.4,1.6,1.3,-1.388,-672,0.066,,,2.3,0.7,-88.4,1.1,4.0,428,0.032,0.13,53,13.0,-1.729,2.8,,,1.1,,,,,,,,,2.4,,-1.785,-0.062,
2,AGM,2,2022,20.7,1.0,104.2,,0.052,0.016,29,26,4,-0.5,1317,26122,,,,,,0.241,,,0.4,1.7,1.4,-0.505,856,0.036,,,2.5,0.7,58.1,1.1,4.1,544,0.118,0.257,51,12.7,-1.036,3.5,,,2.4,,,,,,,,,2.6,,-0.586,-0.027,
3,AGM,1,2022,21.6,2.1,54.0,,0.104,0.03,37,47,3,0.2,2661,26842,,,,,,0.213,,,0.3,1.6,1.0,0.097,2069,0.079,0.002,0.007,2.8,0.7,25.6,1.6,4.7,650,0.105,0.114,80,9.9,-1.49,2.9,0.5,0.002,6.5,,,,,,,,,3.2,,-0.012,0.013,
4,AGM,4,2021,14.9,1.4,39.0,,0.096,0.034,24,21,2,-0.4,2425,26488,,,,,,0.262,,,0.4,1.3,1.0,0.956,2093,0.057,,0.017,2.5,0.6,19.1,2.6,3.8,258,0.481,0.368,43,15.0,-0.991,3.0,0.8,,-8.8,,,,,,,,,2.8,,-0.05,0.058,
5,AGM,3,2021,29.4,1.5,38.6,,0.051,0.018,36,63,9,1.2,1239,25042,,,,,,0.29,,,0.4,1.3,0.8,-0.164,2202,0.052,0.005,0.003,2.1,0.6,16.6,,3.4,293,0.199,0.131,91,10.0,-0.064,2.3,0.7,0.005,0.9,,,,,,,,,2.4,,-0.032,0.009,
6,AGM,2,2021,20.0,1.2,24.9,,0.061,0.028,50,80,10,3.0,1483,24829,,,,,,0.435,,,0.8,1.5,0.7,0.115,2274,0.066,0.023,0.017,1.0,0.4,10.2,,2.3,284,0.127,0.09,120,7.4,-0.142,2.1,0.9,0.023,0.9,,,,,,,,,1.3,,0.24,0.023,
7,AGM,1,2021,10.4,0.6,27.6,,0.055,0.026,53,112,4,2.1,1330,24260,,,,,,0.501,,,1.0,1.6,0.4,-0.021,1834,0.087,0.011,0.007,0.9,0.5,13.0,,2.0,270,0.012,0.01,161,6.9,-0.141,2.0,0.6,0.011,1.0,,,,,,,,,1.0,,-0.047,0.006,
8,AGM,4,2020,9.4,0.5,18.3,,0.056,0.032,49,47,4,0.5,1359,24119,,,,,,0.579,,,1.4,1.8,1.2,-0.16,1923,0.073,0.003,0.011,0.6,0.4,7.8,,1.7,265,0.352,0.566,93,7.4,-0.142,2.6,0.8,0.003,3.7,,,,,,,,,0.7,,-0.283,0.011,
9,AGM,3,2020,7.9,0.5,12.5,,0.068,0.035,46,66,4,1.9,1617,23857,,,,,,0.498,,,1.0,1.6,0.8,-0.048,2683,0.082,0.013,0.016,0.9,0.4,7.2,,2.0,263,0.053,0.094,108,8.0,-0.102,2.5,0.8,0.013,1.4,,,,,,,,,1.0,,-0.021,0.019,
10,AGM,2,2020,6.8,0.5,12.3,,0.073,0.038,43,63,3,1.4,1698,23417,,,,,,0.482,,,0.9,1.6,0.8,-0.11,2741,0.078,0.013,0.017,0.9,0.4,6.3,,2.1,260,0.011,0.021,102,8.5,-0.066,2.7,0.8,0.013,1.5,,,,,,,,,1.1,,-0.119,-0.04,
11,AGM,1,2020,4.7,0.4,12.0,,0.084,0.04,43,83,4,1.5,1908,24401,,,,,,0.449,,,0.8,1.5,0.5,-0.138,3111,0.081,0.011,0.007,1.0,0.5,6.3,,2.2,272,0.014,0.029,121,8.6,-0.064,2.5,0.8,0.011,0.8,,,,,,,,,1.2,,0.016,0.007,
12,AGM,4,2019,4.2,0.4,8.9,,0.098,0.061,11,49,5,1.6,2213,24230,,,,,,0.571,,,1.3,1.8,1.0,0.026,3062,0.077,0.011,0.017,0.6,0.3,3.2,,1.8,266,0.085,0.163,56,33.2,-0.088,3.2,1.2,0.011,2.0,,,,,,,,,0.7,,0.1,0.022,
13,AGM,3,2019,4.4,0.4,9.0,,0.098,0.056,14,65,5,4.9,2156,23712,,,,,,0.536,,,1.2,1.7,0.8,0.049,2783,0.082,0.021,0.016,0.7,0.4,4.6,379.5,1.9,254,0.106,0.243,74,25.5,-0.082,2.8,1.2,0.021,0.9,,,,,,,,,0.9,,-0.057,0.023,
14,AGM,2,2019,3.8,0.3,7.3,,0.096,0.051,15,66,5,3.3,2054,23174,,,,,,0.578,,,1.4,1.8,0.7,0.136,2952,0.087,0.019,0.022,0.6,0.3,4.9,,1.7,244,0.075,0.168,75,25.1,-0.044,2.6,1.1,0.019,1.4,,,,,,,,,0.7,,0.071,0.092,
15,AGM,1,2019,5.0,0.4,7.4,,0.088,0.044,14,72,5,6.6,1809,21221,,,,,,0.531,,,1.1,1.7,0.6,0.197,2757,0.098,0.017,0.022,0.6,0.3,6.0,,1.9,238,0.095,0.228,80,27.0,-0.034,2.5,1.2,0.017,1.4,,,,,,,,,0.9,,0.015,0.024,
16,AGM,4,2018,6.2,0.5,6.2,,0.075,0.043,9,57,5,4.2,1511,20734,,,,,,0.684,,,2.2,2.4,0.8,0.258,2716,0.087,0.014,0.02,0.2,0.2,3.9,,1.5,235,0.11,0.217,61,41.0,-0.008,3.3,1.1,0.014,1.6,,,,,,,,,0.5,,0.192,0.023,
17,AGM,3,2018,6.7,0.4,7.5,,0.06,0.034,14,62,5,5.5,1201,20272,,,,,,0.611,,,1.6,2.0,0.6,0.291,2278,0.079,0.019,0.015,0.4,0.3,4.8,,1.6,223,0.111,0.211,71,25.5,-0.012,3.4,1.3,0.019,1.0,,,,,,,,,0.6,,0.358,0.022,
18,AGM,2,2018,7.9,0.4,17.3,,0.047,0.024,12,62,5,3.7,930,19836,,,,,,0.494,,,1.0,1.6,0.8,0.499,1678,0.079,0.019,0.015,0.8,0.4,8.8,,2.0,211,0.495,1.287,69,29.2,-0.048,3.1,1.2,0.019,1.0,,,,,,,,,1.0,,0.281,-0.006,
19,AGM,1,2018,11.5,0.4,11.2,,0.032,0.015,10,58,5,1.0,620,19962,,,,,,0.469,,,0.9,1.5,0.8,0.003,1310,0.06,0.002,0.005,1.0,0.5,13.6,,2.1,209,0.691,1.5,64,36.3,-0.046,3.0,1.3,0.002,3.5,,,,,,,,,1.1,,-0.028,0.009,
20,AGM,4,2017,11.7,0.4,10.4,,0.032,0.015,8,58,4,-1.4,619,19784,,,,,,0.501,,,1.0,1.6,0.6,-0.092,1347,0.056,-0.005,0.006,0.8,0.4,12.7,,2.0,198,0.383,0.889,62,45.6,-0.063,3.1,0.9,-0.005,-1.0,,,,,,,,,1.0,,-0.058,0.008,
21,AGM,3,2017,10.7,0.4,14.4,,0.035,0.018,11,61,3,-0.3,682,19633,,,,,,0.535,,,1.2,1.6,0.4,0.232,1430,0.056,-0.001,0.005,0.7,0.4,11.2,,1.9,195,0.062,0.14,69,33.6,-0.125,3.1,1.0,-0.001,-6.5,,,,,,,,,0.9,,-0.079,0.009,
22,AGM,2,2017,13.8,0.4,13.3,,0.029,0.014,7,78,4,0.9,553,19467,,,,,,0.525,,,1.1,1.6,0.4,1.511,1552,0.064,0.005,0.004,0.7,0.4,10.8,,1.9,189,0.115,0.247,80,53.8,-0.139,3.0,1.1,0.005,0.8,,,,,,,,,0.9,,0.196,0.003,
23,AGM,1,2017,36.0,0.4,15.5,,0.011,0.004,14,84,5,1.5,220,19402,,,,,,0.479,,,0.9,1.5,0.5,-0.315,1297,0.061,0.006,0.005,0.8,0.4,17.9,125.8,2.1,190,0.278,0.587,94,25.9,-0.152,2.2,1.3,0.006,1.0,,,,,,,,,1.1,,-0.147,0.011,
24,AGM,4,2016,24.3,0.4,12.6,,0.016,0.008,13,61,4,-0.4,322,19195,,,,,,0.471,,,0.9,1.5,0.6,-0.867,1520,0.071,-0.002,0.009,0.9,0.4,12.3,,2.1,180,0.451,0.9,71,27.5,-0.173,2.5,1.0,-0.002,-4.4,,,,,,,,,1.1,,0.268,0.011,
25,AGM,3,2016,3.6,0.5,15.8,,0.129,0.052,10,70,2,0.6,2426,18980,,,,,,0.461,,,0.9,1.4,0.6,0.015,1199,0.058,0.003,0.001,1.0,0.5,18.0,,2.2,179,0.527,1.011,77,37.4,-0.264,2.5,1.3,0.003,0.5,,,,,,,,,1.2,,-0.092,0.002,
26,AGM,2,2016,3.8,0.5,19.3,,0.127,0.05,5,82,3,-0.3,2389,18943,,,,,,0.443,,,0.8,1.4,0.3,-0.108,1320,0.06,-0.004,-0.009,1.0,0.5,16.9,,2.3,173,0.208,0.405,83,73.1,-0.289,2.4,1.2,-0.004,2.9,,,,,,,,,1.3,,-0.156,-0.112,
27,AGM,1,2016,3.5,0.4,14.1,,0.132,0.05,14,85,3,1.9,2679,21335,,,,,,0.366,,,0.6,1.3,0.6,0.028,1565,0.067,0.016,0.01,1.4,0.5,17.8,,2.7,213,0.703,1.197,96,26.2,-0.319,2.3,1.2,0.016,0.7,,,,,,,,,1.7,,0.763,0.013,
28,AGM,4,2015,2.7,0.3,32.0,,0.13,0.062,11,54,2,-1.2,2606,21061,,,,,,0.484,,,0.9,1.5,0.9,16.144,888,0.055,-0.01,0.063,0.9,0.4,21.4,,2.1,210,0.612,0.977,63,33.7,-0.362,2.7,1.3,-0.01,-8.2,,,,,,,,,1.1,,-0.212,0.124,
29,AGM,3,2015,46.5,0.4,29.3,,0.008,0.003,10,103,2,1.0,152,18742,,,,,,0.358,,,0.6,1.1,0.3,-0.278,1126,0.077,0.01,0.0,1.3,0.5,24.1,,2.8,31,0.049,0.094,111,36.2,-0.271,1.9,6.9,0.01,0.0,,,,,,,,,1.8,,0.099,0.0,
30,AGM,2,2015,33.3,0.4,25.2,,0.011,0.004,10,78,4,0.5,210,18742,,,,,,0.359,,,0.6,1.1,0.5,-0.552,1025,0.06,0.006,0.003,1.3,0.5,30.7,,2.8,38,0.459,0.906,84,36.1,-0.169,1.8,0.8,0.006,0.3,,,,,,,,,1.8,,-0.043,-0.024,
31,AGM,1,2015,14.5,0.4,32.0,,0.024,0.008,14,91,3,-1.0,469,19203,,,,,,0.398,,,0.7,1.1,0.2,0.649,1071,0.064,-0.009,0.009,1.3,0.5,32.3,,2.5,50,0.034,0.069,102,25.8,-0.147,1.7,1.2,-0.009,-1.3,,,,,,,,,1.5,,-0.073,0.011,
32,AGM,4,2014,,,23.7,,0.015,0.006,9,58,2,-0.4,284,18999,,,,,,0.471,,,0.9,1.1,0.3,-0.795,1155,0.046,-0.004,-0.007,1.0,0.5,22.1,,2.1,53,0.116,0.203,65,40.5,-0.094,2.0,1.3,-0.004,2.0,,,,,,,,,1.1,,-0.02,-0.007,
33,AGM,3,2014,,,36.1,,0.073,0.028,6,81,2,0.4,1392,19134,,,,,,0.368,,,0.6,1.1,0.2,-0.09,1178,0.071,0.006,0.002,1.6,0.6,22.9,,2.7,55,0.058,0.09,86,59.4,-0.083,2.0,1.3,0.006,0.5,,,,,,,,,1.7,,0.108,0.003,
34,AGM,2,2014,,,33.1,,0.08,0.025,17,73,2,0.5,1529,19075,,,,,,0.311,,,0.5,1.1,0.6,-0.112,1063,0.067,0.008,0.012,2.0,0.6,36.3,,3.2,51,0.403,0.658,87,21.2,-0.127,1.5,1.2,0.008,1.6,,,,,,,,,2.2,,-0.257,-0.05,
35,AGM,1,2014,,,16.5,,0.086,0.025,9,103,2,-0.3,1721,20086,,,,,,0.29,,,0.4,1.1,0.6,-0.048,1432,0.043,-0.007,0.001,2.2,0.6,30.8,,3.5,64,1.012,1.383,110,38.7,-0.169,1.3,1.4,-0.007,-0.2,,,,,,,,,2.5,,0.044,-0.002,
36,AGM,4,2013,,,18.5,,0.09,0.03,8,45,3,-0.5,1808,20116,,,,,,0.359,,,0.6,1.1,0.8,0.333,1372,0.045,-0.008,0.05,1.6,0.6,26.3,,2.8,63,1.167,1.701,50,46.2,-0.208,1.6,1.3,-0.008,-8.9,,,,,,,,,1.8,,0.085,0.051,
37,AGM,3,2013,,,22.6,,0.069,0.027,13,50,2,0.0,1356,19145,,,,,,0.416,,,0.7,1.1,0.6,-0.366,1264,0.057,0.0,0.007,1.2,0.5,20.6,,2.4,33,0.647,1.015,60,29.0,-0.421,2.1,1.3,0.0,-19.9,,,,,,,,,1.4,,-0.493,0.01,
