,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,ARM,4,2022,59.0,3.9,23.3,,0.066,0.02,53,28,25,11.0,762,11472,,,,,,0.299,,,0.4,1.3,1.2,-0.21,1967,0.145,0.018,0.016,0.3,0.1,2.5,,3.3,25,0.222,0.057,56,6.9,-0.736,1.5,0.8,0.018,1.1,,,,,,,,,2.3,,-0.129,0.025,
1,ARM,3,2022,41.1,3.5,22.5,,0.086,0.023,52,26,23,3.2,965,11193,,,,,,0.274,,,0.4,1.3,1.2,0.221,2257,0.142,0.011,0.011,0.3,0.1,4.2,,3.6,24,0.265,0.059,54,7.0,-0.752,1.3,0.8,0.011,1.2,,,,,,,,,2.6,,0.066,0.017,
2,ARM,2,2022,55.8,4.0,20.8,,0.071,0.02,66,37,43,5.9,790,11009,,,,,,0.296,,,0.4,1.3,1.2,0.296,2117,0.164,0.016,0.012,0.3,0.1,3.1,,3.4,25,0.595,0.139,59,5.5,-0.532,1.1,0.8,0.016,0.9,,,,,,,,,2.4,,0.047,-0.064,
3,ARM,1,2022,80.3,4.2,21.0,,0.052,0.015,81,42,68,5.9,610,11758,,,,,,0.378,,,0.6,1.5,1.3,-0.006,2021,0.179,0.021,0.014,0.2,0.1,4.3,,2.6,28,0.338,0.09,55,4.5,-0.163,0.9,0.8,0.021,0.9,,,,,,,,,1.6,,-0.113,0.006,
4,ARM,4,2021,79.8,4.2,27.8,,0.052,0.012,50,36,43,6.5,613,11688,,,,,,0.303,,,0.4,1.3,1.2,0.086,2280,0.16,0.04,0.031,0.6,0.2,5.9,,3.3,27,0.222,0.052,44,7.2,-0.255,1.2,0.9,0.04,0.9,,,,,,,,,2.3,,0.074,0.043,
5,ARM,3,2021,86.7,4.4,32.5,,0.05,0.01,51,40,42,0.8,565,11205,,,,,,0.25,,,0.3,1.2,1.1,-0.315,2122,0.193,0.014,0.001,1.4,0.3,6.6,,4.0,25,0.181,0.041,50,7.1,-0.27,1.0,0.6,0.014,0.2,,,,,,,,,3.0,,-0.094,0.001,
6,ARM,2,2021,56.4,4.2,26.7,,0.074,0.017,42,34,29,1.3,825,11197,,,,,,0.258,,,0.3,1.3,1.1,1.618,2341,0.203,0.018,,0.8,0.2,4.8,,3.9,26,0.182,0.041,46,8.7,-0.25,1.4,,0.018,0.2,,,,,,,,,2.9,,0.55,-0.054,
7,ARM,1,2021,101.4,2.7,41.2,,0.025,0.006,45,25,36,1.5,315,11832,,,,,,0.224,,,0.3,1.2,1.1,-0.434,1511,0.069,0.015,0.004,1.3,0.3,10.2,,4.5,26,0.528,0.13,34,8.1,-0.223,1.3,0.8,0.015,0.3,,,,,,,,,3.5,,-0.166,0.011,
8,ARM,4,2020,86.9,4.1,27.6,,0.044,0.009,54,43,43,3.3,557,11702,,,,,,0.174,,,0.2,1.2,1.0,-0.237,1812,0.213,0.05,0.041,1.7,0.3,9.3,,5.7,26,0.371,0.108,54,6.7,0.0,1.0,0.9,0.05,1.0,,,,,,,,,4.7,,-0.368,0.038,
9,ARM,3,2020,18.6,1.2,19.4,,0.061,0.011,42,29,33,2.1,730,11268,,,,,,0.175,,,0.2,1.1,1.0,-0.29,2864,0.139,0.018,0.017,0.9,0.2,5.7,,5.7,24,0.394,0.11,38,8.6,-0.155,1.1,0.9,0.018,1.0,,,,,,,,,4.7,,-0.208,0.024,
