,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,ASA,2,2018,268.4,1.1,,,0.004,0.003,309,140,379,,38,9334,,,,,,0.767,,,3.3,1.8,1.4,-0.335,55,0.065,0.018,0.014,0.0,0.0,1.4,,1.3,21,0.029,,69,1.2,0.0,0.3,1.3,0.018,1.0,,,,,,,,,0.3,,-0.374,0.0,
1,ASA,1,2018,51.5,0.3,5.4,,0.006,0.004,263,109,416,,58,9332,,,,,,0.793,,,3.8,1.9,1.6,0.218,89,0.021,0.013,0.011,0.0,0.0,0.1,,1.3,21,0.035,0.407,-45,1.4,0.0,0.4,1.2,0.013,1.0,,,,,,,,,0.3,,-0.16,-0.11,
2,ASA,4,2017,62.7,0.3,13.4,,0.005,0.003,201,93,197,-83.0,47,10489,,,,,,0.776,,,3.5,2.1,1.6,-0.27,105,0.015,0.014,-0.004,0.0,0.0,0.6,,1.3,33,0.031,0.192,97,1.8,0.0,0.5,1.0,0.014,-0.3,,,,,,,,,0.3,,-0.041,0.003,
3,ASA,3,2017,44.2,0.3,13.7,,0.006,0.005,80,73,67,1.2,65,10456,,,,,,0.891,,,8.2,3.5,2.4,-0.073,110,0.069,0.005,0.037,0.0,0.0,1.2,,1.1,32,0.231,0.635,86,4.6,0.0,0.7,1.3,0.005,10.9,,,,,,,,,0.1,,-0.242,0.0,
4,ASA,2,2017,32.5,0.2,17.9,,0.007,0.005,102,70,87,13.5,70,10459,,,,,,0.749,,,3.0,1.9,1.3,-0.082,145,0.029,0.01,0.01,0.0,0.0,1.0,,1.3,32,0.035,0.131,85,3.6,-0.034,0.8,1.2,0.01,1.1,,,,,,,,,0.3,,-0.18,0.0,
5,ASA,1,2017,28.5,0.2,10.6,,0.007,0.005,121,74,113,12.1,77,10455,,,,,,0.617,,,1.6,1.5,1.1,-0.472,177,0.026,0.011,0.002,0.0,0.0,0.5,,1.6,31,0.1,0.362,82,3.0,-0.059,0.8,1.2,0.011,0.2,,,,,,,,,0.6,,-0.3,0.003,
6,ASA,4,2016,12.3,0.2,6.8,,0.014,0.011,80,55,62,5.8,146,10425,,,,,,0.71,,,2.4,1.7,1.3,-0.207,252,0.025,0.005,0.004,0.0,0.0,0.7,4.1,1.4,30,0.03,0.162,74,4.5,-0.052,1.1,1.3,0.005,0.9,,,,,,,,,0.4,,-0.2,0.001,
7,ASA,3,2016,11.9,0.2,4.3,,0.018,0.014,73,51,42,11.8,184,10414,,,,,,0.823,,,4.7,2.4,1.6,-0.02,315,0.036,0.014,0.014,0.0,0.0,0.5,4.9,1.2,31,0.038,0.249,82,5.0,-0.053,1.3,1.3,0.014,1.2,,,,,,,,,0.2,,-0.036,0.003,
8,ASA,2,2016,16.5,0.3,5.3,,0.018,0.014,56,41,42,8.5,187,10381,,,,,,0.838,,,5.2,2.5,1.6,-0.139,327,0.024,0.015,0.007,0.0,0.0,0.6,4.5,1.2,30,0.038,0.197,54,6.6,-0.022,1.5,1.3,0.015,0.7,,,,,,,,,0.2,,-0.052,-0.007,
9,ASA,1,2016,14.2,0.3,8.2,,0.021,0.017,50,40,39,46.9,218,10458,,,,,,0.858,,,6.1,2.8,1.7,0.444,345,0.027,0.017,0.012,0.0,0.0,0.5,5.5,1.2,31,0.036,0.127,50,7.3,0.0,1.7,1.3,0.017,0.9,,,,,,,,,0.2,,0.339,0.006,
10,ASA,4,2015,19.2,0.3,11.6,,0.015,0.012,44,48,28,13.0,151,10396,,,,,,0.818,,,4.5,2.3,1.2,0.369,258,0.026,0.014,0.011,0.0,0.0,0.9,7.6,1.2,30,0.052,0.171,64,8.3,0.0,1.5,1.3,0.014,1.0,,,,,,,,,0.2,,0.237,0.005,
11,ASA,3,2015,31.5,0.3,11.2,,0.011,0.008,89,42,48,9.6,110,10348,,,,,,0.731,,,2.7,1.8,1.1,-0.286,208,0.02,0.009,0.007,0.0,0.0,0.8,1.4,1.4,30,0.014,0.062,82,4.1,-0.248,1.3,1.2,0.009,0.9,,,,,,,,,0.4,,-0.213,0.004,
