,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,ATS,4,2022,56.0,1.0,18.1,,0.019,0.015,56,0,66,-99198.1,230,12349,,,,,,0.896,,,8.6,2.5,2.5,0.224,689,0.045,0.008,0.007,0.0,0.0,0.4,,1.1,8,0.003,0.003,-10,6.5,0.0,0.8,0.8,0.008,1.0,,,,,,,,,0.1,,-0.014,0.002,
1,ATS,3,2022,82.3,1.3,17.9,,0.015,0.013,60,0,70,124787.8,188,12326,,,,,,0.886,,,7.8,2.3,2.3,-0.002,699,0.062,0.016,0.013,0.0,0.0,0.4,,1.1,7,0.034,0.032,-10,6.1,0.0,0.8,0.8,0.016,1.0,,,,,,,,,0.1,,-0.018,0.003,
2,ATS,2,2022,90.1,1.4,21.9,,0.016,0.013,60,0,73,94.2,188,12285,,,,,,0.903,,,9.3,2.6,2.6,-0.119,712,0.172,0.126,0.0,0.0,0.0,0.0,,1.1,7,0.033,0.026,-12,6.0,0.0,0.8,0.0,0.126,0.5,,,,,,,,,0.1,,0.719,0.0,
3,ATS,1,2022,107.8,1.9,35.6,,0.018,0.014,61,0,72,17.1,214,12281,,,,,,0.839,,,5.2,1.9,1.9,3.298,414,0.15,0.097,0.066,0.0,0.0,0.6,,1.2,7,0.078,0.062,-10,6.0,0.0,0.7,0.7,0.097,1.0,,,,,,,,,0.2,,0.25,0.041,
4,ATS,4,2021,608.0,2.6,68.8,,0.004,0.003,57,0,95,2.6,49,11802,,,,,,0.716,,,2.5,1.3,1.3,-1.388,331,0.153,0.012,,0.0,0.0,0.8,,1.4,5,0.078,0.04,-38,6.4,0.0,0.7,,0.012,-0.5,,,,,,,,,0.4,,2.466,-0.016,
5,ATS,3,2021,-261.7,2.8,326.4,,-0.011,-0.008,64,1,92,4.8,-128,11994,,,,,,0.745,,,2.9,1.4,1.4,-0.083,96,0.059,0.023,0.015,0.0,0.0,2.7,,1.3,6,0.069,0.026,-28,5.7,0.0,0.7,0.8,0.023,0.8,,,,,,,,,0.3,,-0.188,0.003,
6,ATS,2,2021,-240.1,2.8,280.3,,-0.012,-0.009,61,1,92,30.1,-139,11955,,,,,,0.756,,,3.1,1.4,1.4,-6.159,118,0.055,0.025,0.01,0.0,0.0,0.2,,1.3,6,0.056,0.02,-31,6.0,0.0,0.7,0.7,0.025,0.6,,,,,,,,,0.3,,-0.598,0.002,
7,ATS,1,2021,1253.5,2.9,112.4,,0.002,0.002,141,0,91,,27,11929,,,,,,0.774,,,3.4,1.5,1.5,-0.367,293,0.155,0.071,0.001,0.0,0.0,0.2,,1.3,6,0.069,0.025,51,2.6,0.0,0.7,0.8,0.071,0.0,,,,,,,,,0.3,,0.926,-0.014,
8,ATS,4,2020,861.3,3.0,197.1,,0.004,0.003,55,1,90,,42,12104,,,,,,0.794,,,3.9,1.6,1.6,-0.68,152,0.078,,,0.0,0.0,0.0,,1.3,6,0.065,0.026,-34,6.6,0.0,0.7,,,1.0,,,,,,,,,0.3,,-0.832,-0.013,
9,ATS,3,2020,197.3,2.2,37.0,,0.011,0.009,119,4,90,,133,12257,,,,,,0.794,,,3.9,1.6,1.6,0.2,902,0.08,0.028,0.01,0.0,0.0,0.0,,1.3,7,0.053,0.019,34,3.1,0.0,0.7,0.8,0.028,0.4,,,,,,,,,0.3,,0.094,0.002,
10,ATS,2,2020,239.4,2.2,31.6,,0.009,0.007,122,16,91,,111,12227,,,,,,0.805,,,4.1,1.7,1.7,-0.745,825,0.064,0.116,0.093,0.0,0.0,0.0,,1.2,7,0.026,0.012,48,3.0,0.0,0.7,0.8,0.116,1.0,,,,,,,,,0.2,,-0.436,0.014,
11,ATS,1,2020,75.1,2.7,17.7,,0.037,0.027,226,23,113,,436,12057,,,,,,0.823,,,4.6,3.5,3.5,44.157,1463,0.191,0.009,0.007,0.0,0.0,1.1,,1.2,22,0.038,0.017,136,1.6,0.0,0.7,0.8,0.009,1.1,,,,,,,,,0.2,,-0.054,-0.015,
12,ATS,4,2019,3390.1,2.7,17.1,,0.001,0.001,36,38,117,,9,12235,,,,,,0.794,,,3.9,1.4,1.4,-0.933,1546,0.207,0.163,-0.031,0.0,0.0,1.0,,1.3,5,0.026,0.012,-43,10.2,0.0,0.7,1.0,0.163,-0.2,,,,,,,,,0.3,,0.426,0.007,
13,ATS,3,2019,150.6,1.8,30.0,,0.012,0.008,86,26,121,,143,12148,,,,,,0.821,,,4.6,2.9,2.9,-0.268,1084,0.096,0.004,0.003,0.0,0.0,1.6,,1.2,18,0.024,0.009,-9,4.2,0.0,0.6,1.3,0.004,1.0,,,,,,,,,0.2,,-0.116,0.001,
14,ATS,2,2019,135.4,2.2,17.4,,0.016,0.011,92,39,118,17.0,195,12137,,,,,,0.828,,,4.8,3.0,2.7,0.227,1225,0.365,0.273,0.161,0.0,0.0,1.4,,1.2,17,0.026,0.015,12,4.0,0.0,0.6,1.0,0.273,0.6,,,,,,,,,0.2,,0.2,0.045,
15,ATS,1,2019,214.9,3.0,25.4,,0.014,0.008,91,42,139,2.8,159,11618,,,,,,0.653,,,1.9,2.3,2.1,-0.737,1021,0.158,0.048,-0.191,0.3,0.2,3.2,10.3,1.5,28,0.082,0.04,-6,4.0,0.0,0.5,1.0,0.048,-4.0,,,,,,,,,0.5,,-0.018,-0.072,
16,ATS,4,2018,63.9,3.1,30.0,,0.05,0.02,210,55,224,1.6,607,12521,,,,,,0.684,,,2.2,2.1,1.8,-0.056,1040,0.155,0.038,0.011,0.3,0.2,3.2,10.3,1.5,22,0.034,0.015,41,1.7,0.0,0.4,1.3,0.038,0.4,,,,,,,,,0.5,,-0.023,0.002,
