,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,B82,2,2018,18.3,0.2,,,0.012,0.001,376,1128,610.0,-1.3,125,10125,,,,,,0.11,,,0.1,1.0,0.4,0.08,2715.0,-0.019,-0.05,0.005,1.4,0.2,6.1,59.7,9.1,11,0.013,,894.0,1.0,0.0,0.2,1.3,-0.05,-0.1,,,,,,,,,8.1,,-0.196,0.002,
1,B82,1,2018,22.4,0.3,,,0.012,0.001,308,1033,396.0,0.5,116,10101,,,,,,0.105,,,0.1,1.0,0.4,0.122,3376.0,0.254,0.07,0.018,1.6,0.2,5.8,67.9,9.5,7,0.019,,945.0,1.2,0.0,0.2,1.3,0.07,0.3,,,,,,,,,8.5,,-0.104,0.002,
2,B82,4,2017,19.3,0.2,4.3,,0.01,0.001,328,1013,397.0,0.9,103,10084,,,,,,0.105,,,0.1,1.0,0.4,0.371,3769.0,0.364,0.318,0.005,1.7,0.2,5.1,71.0,9.5,5,0.033,0.142,943.0,1.1,0.0,0.3,1.3,0.318,0.0,,,,,,,,,8.5,,0.684,0.004,
3,B82,3,2017,35.8,0.3,8.2,,0.007,0.001,221,598,348.0,1.3,75,10048,,,,,,0.101,,,0.1,1.0,0.4,0.063,2238.0,0.11,0.08,0.006,1.8,0.2,9.3,53.6,9.9,0,0.235,0.945,472.0,1.6,0.0,0.4,1.2,0.08,0.1,,,,,,,,,8.9,,0.15,0.006,
4,B82,2,2017,36.6,0.3,10.7,,0.007,0.001,184,585,293.0,2.0,71,9991,,,,,,0.097,,,0.1,1.0,0.4,-0.328,1947.0,0.149,0.065,0.001,1.9,0.2,11.2,39.3,10.3,-2,0.051,0.212,477.0,2.0,-0.04,0.4,7.4,0.065,0.2,,,,,,,,,9.3,,-0.4,0.008,
5,B82,1,2017,32.2,0.3,8.2,,0.011,0.001,185,535,275.0,1.0,105,9914,,,,,,0.102,,,0.1,1.0,0.4,-0.208,3245.0,0.643,0.371,0.001,2.3,0.2,8.3,23.2,9.8,15,0.203,0.671,445.0,2.0,-0.037,0.4,1.2,0.371,0.0,,,,,,,,,8.8,,-0.105,-0.006,
6,B82,4,2016,30.7,0.4,8.3,,0.015,0.001,140,361,239.0,1.5,133,9974,,,,,,0.103,,,0.1,1.0,0.4,-0.134,3625.0,0.052,0.03,0.0,2.2,0.2,9.0,18.9,9.7,7,0.102,0.33,262.0,2.6,-0.035,0.6,1.3,0.03,0.0,,,,,,,,,8.7,,-0.128,-0.015,
7,B82,3,2016,33.1,0.5,7.6,,0.017,0.001,97,342,208.0,1.1,154,10123,,,,,,0.095,,,0.1,1.0,0.4,-0.02,4159.0,0.076,0.039,0.004,2.3,0.2,8.4,17.5,10.5,5,0.244,0.589,231.0,3.8,-0.049,0.6,1.2,0.039,0.1,,,,,,,,,9.5,,-0.027,0.008,
8,B82,2,2016,35.6,0.6,7.6,,0.017,0.001,77,311,166.0,1.0,157,10045,,,,,,0.097,,,0.1,1.0,0.4,0.413,4273.0,0.262,0.174,0.006,2.5,0.2,7.9,16.4,10.3,-8,0.383,0.784,222.0,4.7,-0.307,0.7,1.2,0.174,0.0,,,,,,,,,9.3,,-0.142,-0.011,
9,B82,1,2016,55.7,0.6,7.7,,0.012,0.001,67,232,131.0,1.0,111,10153,,,,,,0.094,,,0.1,1.0,0.5,-0.104,4981.0,0.029,0.02,0.001,2.5,0.2,7.8,15.2,10.7,0,0.689,1.25,169.0,5.4,-0.285,0.9,1.3,0.02,0.1,,,,,,,,,9.7,,-0.3,0.235,
