,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,BCE,4,2022,-5.3,0.6,-12.1,,-0.105,-0.053,879,168,734,6.0,-1121,10052,,,,,,0.538,,,1.2,2.1,2.0,1.631,-698,0.136,0.08,,0.3,0.1,-4.7,,1.9,263,0.055,0.094,314,0.4,-0.731,0.2,,0.08,-2.2,,,,,,,,,0.9,,-0.309,-0.062,
1,BCE,3,2022,-20.0,0.8,-8.4,,-0.039,-0.019,30964,2559,5892,-8.0,-426,10714,,,,,,0.52,,,1.1,2.1,1.6,0.079,-1010,,,,0.3,0.2,-2.3,,1.9,294,0.053,0.097,27631,0.0,-0.848,0.0,0.6,,0.0,,,,,,,,,0.9,,6.039,0.001,
2,BCE,2,2022,-22.5,0.8,-57.6,,-0.036,-0.016,2911,1207,16583,-6.1,-394,10705,,,,,,0.492,,,1.0,1.9,1.7,-1.794,-144,,,,0.4,0.2,-21.5,,2.0,295,0.227,0.405,-12466,0.1,-0.851,0.1,,,1.2,,,,,,,,,1.0,,-1.252,-0.047,
3,BCE,1,2022,33.4,1.5,19.4,,0.043,0.02,1170,660,4952,1.6,497,11239,,,,,,0.489,,,1.0,1.6,1.4,-0.347,569,0.689,0.44,0.106,0.3,0.2,5.5,,2.0,237,0.152,0.187,-3121,0.3,-0.179,0.1,0.8,0.44,0.3,,,,,,,,,1.0,,-0.401,-0.01,
4,BCE,4,2021,24.2,1.6,13.5,,0.071,0.03,589,397,3343,4.1,761,11352,,,,,,0.488,,,1.0,1.6,1.5,-0.381,950,0.243,0.086,0.042,0.4,0.2,3.8,,2.1,270,0.181,0.164,-2357,0.6,-0.141,0.2,0.8,0.086,0.6,,,,,,,,,1.1,,-0.407,0.003,
5,BCE,3,2021,11.4,1.2,10.5,,0.117,0.049,276,211,467,2.7,1230,11320,,,,,,0.451,,,0.8,1.6,1.3,-0.162,1601,0.5,0.197,0.147,0.1,0.1,1.7,,2.2,272,0.183,0.128,20,1.3,-0.075,0.3,0.8,0.197,0.9,,,,,,,,,1.2,,-0.183,0.004,
6,BCE,2,2021,7.7,1.0,11.4,,0.142,0.059,244,143,236,11.4,1468,11280,,,,,,0.432,,,0.8,2.0,1.7,0.223,1959,0.361,0.272,0.345,0.1,0.1,1.6,,2.3,391,0.285,0.143,151,1.5,-0.073,0.5,0.8,0.272,1.6,,,,,,,,,1.3,,0.111,-0.055,
7,BCE,1,2021,9.8,1.0,7.1,,0.107,0.046,226,122,211,8.0,1200,11935,,,,,,0.433,,,0.8,1.5,1.3,0.269,1764,0.292,0.233,0.172,0.2,0.1,1.4,,2.3,293,0.174,0.189,137,1.6,-0.069,0.5,0.8,0.233,0.9,,,,,,,,,1.3,,0.164,0.168,
8,BCE,4,2020,13.2,1.2,12.3,,0.092,0.036,157,135,249,9.7,946,10219,,,,,,0.381,,,0.6,1.3,1.0,-0.01,1516,0.166,0.143,0.103,0.3,0.1,1.6,,2.6,165,0.044,0.036,44,2.3,-0.116,0.5,0.8,0.143,0.9,,,,,,,,,1.6,,0.016,0.052,
9,BCE,3,2020,7.4,0.7,10.4,,0.097,0.035,113,173,442,6.4,955,9718,,,,,,0.385,,,0.6,1.3,1.0,-0.081,1492,0.133,0.108,0.077,0.4,0.1,2.0,,2.6,149,0.025,0.025,-155,3.2,-0.074,0.5,0.8,0.108,0.9,,,,,,,,,1.6,,-0.07,0.029,
10,BCE,2,2020,6.1,0.7,7.5,,0.109,0.037,117,197,563,2.3,1040,9441,,,,,,0.393,,,0.6,1.3,1.0,-0.004,1604,0.089,0.055,0.055,0.5,0.2,2.3,,2.5,139,0.06,0.085,-249,3.1,-0.088,0.6,0.8,0.055,1.2,,,,,,,,,1.5,,-0.011,-0.102,
11,BCE,1,2020,4.9,0.5,5.0,,0.1,0.037,132,178,567,1.5,1044,10508,,,,,,0.426,,,0.7,1.5,1.2,0.022,1621,0.137,0.046,0.026,0.2,0.1,1.2,,2.3,258,0.192,0.287,-257,2.8,-0.082,0.6,0.8,0.046,0.7,,,,,,,,,1.3,,0.006,0.006,
12,BCE,4,2019,5.4,0.5,4.5,,0.098,0.032,345,174,708,24.2,1022,10442,,,,,,0.396,,,0.7,1.4,1.1,-0.098,1612,0.095,0.082,0.064,0.1,0.1,1.4,,2.5,199,0.139,0.243,-189,1.1,-0.048,0.6,1.3,0.082,1.0,,,,,,,,,1.5,,-0.107,0.051,
13,BCE,3,2019,4.9,0.6,4.0,,0.114,0.037,432,233,378,12.9,1133,9932,,,,,,0.331,,,0.5,1.3,0.8,0.309,1804,0.111,0.094,0.07,0.2,0.1,1.6,,3.0,181,0.13,0.218,287,0.8,-1.132,0.5,1.3,0.094,0.9,,,,,,,,,2.0,,0.455,0.037,
14,BCE,2,2019,5.8,0.5,5.9,,0.09,0.026,610,388,434,7.0,865,9576,,,,,,0.3,,,0.4,1.3,0.7,-0.22,1240,0.062,0.042,0.038,0.2,0.1,2.5,,3.3,235,0.168,0.278,564,0.6,-1.084,0.3,1.2,0.042,1.1,,,,,,,,,2.3,,-0.202,-0.085,
15,BCE,1,2019,4.2,0.4,3.7,,0.107,0.035,736,426,443,0.9,1109,10462,,,,,,0.335,,,0.5,1.3,0.7,0.003,1554,0.101,0.037,0.004,0.1,0.0,1.3,,3.0,199,0.192,0.37,720,0.5,-1.073,0.3,1.3,0.037,0.1,,,,,,,,,2.0,,0.019,-0.004,
16,BCE,4,2018,3.6,0.4,4.2,,0.107,0.032,801,441,626,14.1,1105,10506,,,,,,0.284,,,0.4,1.3,0.9,0.529,1526,0.196,0.178,0.135,0.2,0.1,1.3,,3.5,292,0.121,0.211,616,0.5,-1.06,0.3,1.3,0.178,0.9,,,,,,,,,2.5,,0.596,0.063,
17,BCE,3,2018,5.3,0.4,9.7,,0.073,0.022,427,292,1009,0.4,723,9885,,,,,,0.312,,,0.5,1.4,1.1,0.131,956,0.063,0.017,0.07,0.4,0.1,3.3,,3.2,299,0.082,0.153,-290,0.9,0.012,0.5,1.2,0.017,5.2,,,,,,,,,2.2,,-0.069,0.014,
